City_Council_District,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
7.0,2018,4574,-14.743709226467846
7.0,2019,4071,-10.9969392216878
7.0,2020,2903,-28.690739376074674
7.0,2021,3645,25.559765759559077
7.0,2022,4096,12.373113854595335
7.0,2023,2098,-48.779296875
8.0,2006,17435,
8.0,2007,18258,4.7203900200745625
8.0,2008,18575,1.7362252163435208
8.0,2009,18815,1.2920592193808884
8.0,2010,18620,-1.0364071219771458
8.0,2011,17521,-5.902255639097744
8.0,2012,17861,1.9405285086467667
8.0,2013,17383,-2.6762219360618107
8.0,2014,17606,1.282862566875683
8.0,2015,15913,-9.616039986368284
8.0,2016,14437,-9.27543517878464
8.0,2017,12575,-12.897416360739767
8.0,2018,10370,-17.53479125248509
8.0,2019,9578,-7.6374156219865
8.0,2020,6092,-36.39590728753393
8.0,2021,6120,0.4596191726854892
8.0,2022,8267,35.08169934640522
8.0,2023,4954,-40.07499697592839
9.0,2006,17938,
9.0,2007,19354,7.893856617237151
9.0,2008,20440,5.611243153870001
9.0,2009,21555,5.454990215264187
9.0,2010,20705,-3.9434006031083277
9.0,2011,19807,-4.337116638493117
9.0,2012,19381,-2.1507547836623413
9.0,2013,19696,1.6253031319333366
9.0,2014,18693,-5.0924045491470356
9.0,2015,15852,-15.198202535708555
9.0,2016,14752,-6.939187484229119
9.0,2017,11918,-19.210954446854664
9.0,2018,9236,-22.503775801308944
9.0,2019,8390,-9.159809441316586
9.0,2020,5266,-37.23480333730632
9.0,2021,6320,20.015191796429928
9.0,2022,6807,7.705696202531645
9.0,2023,3453,-49.272807404142796
10.0,2006,10111,
10.0,2007,11766,16.36831173968945
10.0,2008,11295,-4.003059663437022
10.0,2009,10971,-2.8685258964143427
10.0,2010,10516,-4.147297420472154
10.0,2011,10326,-1.8067706352225184
10.0,2012,10188,-1.336432306798373
10.0,2013,9734,-4.456223007459757
10.0,2014,9734,0.0
10.0,2015,8090,-16.88925416067393
10.0,2016,7767,-3.992583436341162
10.0,2017,7042,-9.334363332045834
10.0,2018,5466,-22.380005680204487
10.0,2019,4737,-13.336992316136115
10.0,2020,2868,-39.455351488283725
10.0,2021,3208,11.85495118549512
10.0,2022,3900,21.571072319201996
10.0,2023,2772,-28.923076923076923
11.0,2006,4578,
11.0,2007,5570,21.66885102664919
11.0,2008,5900,5.9245960502693
11.0,2009,8035,36.186440677966104
11.0,2010,11045,37.461107654013695
11.0,2011,10254,-7.161611588954278
11.0,2012,7556,-26.311683245562705
11.0,2013,6096,-19.322392800423504
11.0,2014,6406,5.085301837270341
11.0,2015,5541,-13.502965969403686
11.0,2016,5280,-4.710341093665403
11.0,2017,4886,-7.462121212121212
11.0,2018,4376,-10.437986082685223
11.0,2019,3898,-10.923217550274222
11.0,2020,2776,-28.78399179066188
11.0,2021,2959,6.592219020172911
11.0,2022,3415,15.410611693139575
11.0,2023,1778,-47.93557833089312
12.0,2006,5658,
12.0,2007,6480,14.528101802757156
12.0,2008,6666,2.8703703703703702
12.0,2009,6819,2.295229522952295
12.0,2010,6808,-0.16131397565625458
12.0,2011,6461,-5.096944770857814
12.0,2012,5965,-7.67683021204148
12.0,2013,6300,5.616093880972339
12.0,2014,6360,0.9523809523809524
12.0,2015,5854,-7.955974842767295
12.0,2016,5404,-7.6870515886573285
12.0,2017,5342,-1.147298297557365
12.0,2018,4974,-6.888805690752527
12.0,2019,4361,-12.324085243264978
12.0,2020,2937,-32.6530612244898
12.0,2021,3327,13.278855975485188
12.0,2022,3554,6.822963630898708
12.0,2023,2165,-39.08272369161508
13.0,2006,3903,
13.0,2007,4124,5.6623110427876
13.0,2008,4493,8.947623666343356
13.0,2009,4398,-2.1144001780547517
13.0,2010,4546,3.365165984538426
13.0,2011,4533,-0.28596568411790585
13.0,2012,4721,4.14736377674829
13.0,2013,4720,-0.021181952976064393
13.0,2014,4820,2.11864406779661
13.0,2015,4048,-16.016597510373444
13.0,2016,4497,11.09189723320158
13.0,2017,4403,-2.0902824104958864
13.0,2018,4276,-2.884397002044061
13.0,2019,3667,-14.242282507015902
13.0,2020,2484,-32.26070357240251
13.0,2021,2410,-2.9790660225442833
13.0,2022,3096,28.46473029045643
13.0,2023,1947,-37.1124031007752
14.0,2006,12923,
14.0,2007,14578,12.806623848951482
14.0,2008,14638,0.4115790917821375
14.0,2009,13705,-6.373821560322448
14.0,2010,13572,-0.970448741335279
14.0,2011,12270,-9.593280282935455
14.0,2012,10943,-10.814995925020375
14.0,2013,9560,-12.638216211276616
14.0,2014,9094,-4.874476987447698
14.0,2015,6797,-25.258412139872444
14.0,2016,5971,-12.1524201853759
14.0,2017,5889,-1.3733043041366604
14.0,2018,5615,-4.652742401086772
14.0,2019,4382,-21.959038290293854
14.0,2020,3066,-30.031948881789138
14.0,2021,3146,2.609262883235486
14.0,2022,3267,3.8461538461538463
14.0,2023,1900,-41.84266911539638
15.0,2006,10950,
15.0,2007,13621,24.39269406392694
15.0,2008,13721,0.7341604874825637
15.0,2009,13684,-0.2696596457984112
15.0,2010,13655,-0.21192633732826657
15.0,2011,12555,-8.055657268399854
15.0,2012,12401,-1.2266029470330544
15.0,2013,12281,-0.967663898072736
15.0,2014,12397,0.9445484895366827
15.0,2015,10532,-15.043962248931193
15.0,2016,9804,-6.912267375617167
15.0,2017,9261,-5.538555691554468
15.0,2018,8548,-7.698952596911781
15.0,2019,7114,-16.77585400093589
15.0,2020,4899,-31.13578858588698
15.0,2021,4742,-3.204735660338845
15.0,2022,7461,57.33867566427667
15.0,2023,4387,-41.200911405977756
16.0,2006,11838,
16.0,2007,13522,14.225375908092582
16.0,2008,13372,-1.1093033574914952
16.0,2009,14507,8.487885133113968
16.0,2010,15359,5.873026814641208
16.0,2011,14471,-5.781626407969269
16.0,2012,12507,-13.571971529265427
16.0,2013,12276,-1.8469656992084433
16.0,2014,11130,-9.335288367546433
16.0,2015,10959,-1.5363881401617252
16.0,2016,9286,-15.265991422575054
16.0,2017,8289,-10.736592720223994
16.0,2018,7466,-9.928821329472795
16.0,2019,6693,-10.353603000267881
16.0,2020,3967,-40.729119976094424
16.0,2021,4536,14.343332493067809
16.0,2022,5478,20.767195767195766
16.0,2023,3432,-37.34939759036144
17.0,2006,15194,
17.0,2007,17655,16.19718309859155
17.0,2008,17451,-1.155480033984707
17.0,2009,19070,9.277405306286173
17.0,2010,19152,0.4299947561615103
17.0,2011,19083,-0.36027568922305764
17.0,2012,18165,-4.810564376670335
17.0,2013,18115,-0.27525461051472616
17.0,2014,18225,0.6072315760419542
17.0,2015,16599,-8.921810699588477
17.0,2016,15349,-7.530574130971745
17.0,2017,12637,-17.668903511629424
17.0,2018,10132,-19.822742739574267
17.0,2019,9276,-8.448480063166205
17.0,2020,6144,-33.76455368693402
17.0,2021,6232,1.4322916666666665
17.0,2022,7897,26.71694480102696
17.0,2023,5140,-34.91199189565658
18.0,2006,10194,
18.0,2007,11048,8.377476947223856
18.0,2008,10214,-7.548877624909486
