State_Senate_District,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
10.0,2018,0,2789,6.0456273764258555
10.0,2018,1,2697,-3.2986733596271063
10.0,2018,2,2680,-0.6303299962921765
10.0,2018,3,2439,-8.992537313432836
10.0,2019,0,2464,1.025010250102501
10.0,2019,1,2524,2.4350649350649354
10.0,2019,2,2472,-2.0602218700475436
10.0,2019,3,2011,-18.648867313915858
10.0,2020,0,1930,-4.027846842366982
10.0,2020,1,1411,-26.89119170984456
10.0,2020,2,1182,-16.229624379872433
10.0,2020,3,1438,21.658206429780034
10.0,2021,0,1472,2.364394993045897
10.0,2021,1,1481,0.6114130434782609
10.0,2021,2,1544,4.25388251181634
10.0,2021,3,1413,-8.484455958549223
10.0,2022,0,1496,5.874026893135174
10.0,2022,1,1686,12.70053475935829
10.0,2022,2,1803,6.93950177935943
10.0,2022,3,1598,-11.369938990571269
10.0,2023,0,1995,24.84355444305382
10.0,2023,1,2098,5.162907268170426
11.0,2006,0,1535,
11.0,2006,1,1627,5.993485342019544
11.0,2006,2,1314,-19.237861094038106
11.0,2006,3,1345,2.359208523592085
11.0,2007,0,1293,-3.866171003717472
11.0,2007,1,1433,10.827532869296212
11.0,2007,2,1413,-1.3956734124214933
11.0,2007,3,1223,-13.446567586694973
11.0,2008,0,1362,11.365494685200327
11.0,2008,1,1217,-10.646108663729809
11.0,2008,2,1215,-0.16433853738701726
11.0,2008,3,1176,-3.2098765432098766
11.0,2009,0,1361,15.731292517006803
11.0,2009,1,1349,-0.881704628949302
11.0,2009,2,1320,-2.149740548554485
11.0,2009,3,1289,-2.348484848484848
11.0,2010,0,1368,6.12878200155159
11.0,2010,1,1275,-6.798245614035088
11.0,2010,2,1334,4.627450980392156
11.0,2010,3,1388,4.0479760119940025
11.0,2011,0,1466,5.619596541786744
11.0,2011,1,1554,6.002728512960437
11.0,2011,2,1270,-18.275418275418275
11.0,2011,3,1201,-5.433070866141732
11.0,2012,0,1549,28.975853455453787
11.0,2012,1,1338,-13.621691413815364
11.0,2012,2,1399,4.559043348281016
11.0,2012,3,1204,-13.9385275196569
11.0,2013,0,1514,25.74750830564784
11.0,2013,1,1589,4.953764861294584
11.0,2013,2,1674,5.349276274386407
11.0,2013,3,1614,-3.584229390681003
11.0,2014,0,1767,9.479553903345725
11.0,2014,1,1640,-7.187323146576118
11.0,2014,2,1551,-5.426829268292683
11.0,2014,3,1543,-0.5157962604771116
11.0,2015,0,1332,-13.674659753726507
11.0,2015,1,1364,2.4024024024024024
11.0,2015,2,1468,7.624633431085044
11.0,2015,3,1269,-13.555858310626704
11.0,2016,0,1274,0.3940110323089046
11.0,2016,1,1325,4.003139717425432
11.0,2016,2,1102,-16.830188679245282
11.0,2016,3,1190,7.985480943738657
11.0,2017,0,1183,-0.5882352941176471
11.0,2017,1,1254,6.001690617075233
11.0,2017,2,1159,-7.575757575757576
11.0,2017,3,1114,-3.882657463330457
11.0,2018,0,971,-12.836624775583482
11.0,2018,1,1047,7.826982492276004
11.0,2018,2,1049,0.19102196752626552
11.0,2018,3,880,-16.11058150619638
11.0,2019,0,903,2.6136363636363633
11.0,2019,1,931,3.10077519379845
11.0,2019,2,858,-7.841031149301826
11.0,2019,3,732,-14.685314685314685
11.0,2020,0,723,-1.2295081967213115
11.0,2020,1,572,-20.885200553250346
11.0,2020,2,567,-0.8741258741258742
11.0,2020,3,686,20.98765432098765
11.0,2021,0,647,-5.685131195335277
11.0,2021,1,632,-2.3183925811437405
11.0,2021,2,703,11.234177215189874
11.0,2021,3,687,-2.275960170697013
11.0,2022,0,791,15.138282387190685
11.0,2022,1,958,21.11251580278129
11.0,2022,2,916,-4.3841336116910234
11.0,2022,3,885,-3.384279475982533
11.0,2023,0,926,4.632768361581921
11.0,2023,1,1159,25.161987041036717
12.0,2006,0,2063,
12.0,2006,1,1903,-7.755695588948133
12.0,2006,2,1790,-5.9379926431949555
12.0,2006,3,2133,19.162011173184357
12.0,2007,0,2174,1.9221753398968588
12.0,2007,1,2068,-4.875804967801288
12.0,2007,2,1989,-3.8201160541586074
12.0,2007,3,2140,7.59175465057818
12.0,2008,0,2093,-2.196261682242991
12.0,2008,1,1941,-7.262302914476828
12.0,2008,2,1786,-7.985574446161772
12.0,2008,3,1941,8.678611422172452
12.0,2009,0,2141,10.303967027305513
12.0,2009,1,2139,-0.09341429238673517
12.0,2009,2,1900,-11.173445535296867
12.0,2009,3,1911,0.5789473684210527
12.0,2010,0,2071,8.372579801151229
12.0,2010,1,2218,7.098020280057943
12.0,2010,2,2096,-5.500450856627593
12.0,2010,3,2264,8.015267175572518
12.0,2011,0,2225,-1.7226148409893993
12.0,2011,1,2214,-0.4943820224719101
12.0,2011,2,1684,-23.938572719060524
12.0,2011,3,1892,12.351543942992874
