Police_Precinct,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
19.0,2006,3732,
19.0,2007,3617,-3.0814576634512325
19.0,2008,3290,-9.040641415537738
19.0,2009,3259,-0.9422492401215805
19.0,2010,3207,-1.595581466707579
19.0,2011,3264,1.7773620205799812
19.0,2012,3367,3.1556372549019605
19.0,2013,3187,-5.346005346005346
19.0,2014,3016,-5.365547536868529
19.0,2015,2814,-6.697612732095491
19.0,2016,2846,1.1371712864250179
19.0,2017,2864,0.6324666198172875
19.0,2018,2366,-17.38826815642458
19.0,2019,2433,2.83178360101437
19.0,2020,1474,-39.41635840526099
19.0,2021,1548,5.020352781546811
19.0,2022,2172,40.310077519379846
19.0,2023,1035,-52.348066298342545
20.0,2006,2137,
20.0,2007,2361,10.481984089845579
20.0,2008,2331,-1.2706480304955527
20.0,2009,2522,8.193908193908193
20.0,2010,2298,-8.881839809674862
20.0,2011,2199,-4.308093994778068
20.0,2012,2020,-8.14006366530241
20.0,2013,2131,5.4950495049504955
20.0,2014,2284,7.1797278273111225
20.0,2015,1933,-15.367775831873907
20.0,2016,1882,-2.638385928608381
20.0,2017,1918,1.9128586609989375
20.0,2018,1667,-13.086548488008344
20.0,2019,1492,-10.497900419916016
20.0,2020,813,-45.50938337801609
20.0,2021,1033,27.060270602706026
20.0,2022,1106,7.066795740561471
20.0,2023,527,-52.35081374321881
22.0,2006,776,
22.0,2007,861,10.95360824742268
22.0,2008,915,6.2717770034843205
22.0,2009,825,-9.836065573770492
22.0,2010,940,13.939393939393941
22.0,2011,836,-11.063829787234042
22.0,2012,784,-6.220095693779904
22.0,2013,680,-13.26530612244898
22.0,2014,598,-12.058823529411764
22.0,2015,605,1.1705685618729096
22.0,2016,379,-37.35537190082645
22.0,2017,351,-7.387862796833773
22.0,2018,221,-37.03703703703704
22.0,2019,175,-20.81447963800905
22.0,2020,81,-53.714285714285715
22.0,2021,103,27.160493827160494
22.0,2022,165,60.19417475728155
22.0,2023,94,-43.03030303030303
23.0,2006,5770,
23.0,2007,5706,-1.1091854419410745
23.0,2008,5619,-1.5247108307045216
23.0,2009,5980,6.424630717209467
23.0,2010,5857,-2.0568561872909696
23.0,2011,5930,1.246371862728359
23.0,2012,5339,-9.96627318718381
23.0,2013,5402,1.179996253980146
23.0,2014,5236,-3.0729359496482784
23.0,2015,4982,-4.851031321619557
23.0,2016,4582,-8.028904054596547
23.0,2017,3999,-12.72370144041903
23.0,2018,3232,-19.179794948737182
23.0,2019,2700,-16.46039603960396
23.0,2020,1853,-31.37037037037037
23.0,2021,1731,-6.583917970858068
23.0,2022,2047,18.25534373194685
23.0,2023,1217,-40.54714215925745
24.0,2006,2894,
24.0,2007,3573,23.46233586731168
24.0,2008,3299,-7.668625804645955
24.0,2009,3293,-0.18187329493785995
24.0,2010,3043,-7.591861524445793
24.0,2011,2788,-8.379888268156424
