City_Council_District,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
2.0,2006,0,1920,
2.0,2006,1,2003,4.322916666666667
2.0,2006,2,2009,0.29955067398901647
2.0,2006,3,1890,-5.923344947735192
2.0,2007,0,2210,16.93121693121693
2.0,2007,1,2166,-1.9909502262443437
2.0,2007,2,2176,0.46168051708217916
2.0,2007,3,1915,-11.994485294117647
2.0,2008,0,2222,16.031331592689295
2.0,2008,1,2090,-5.9405940594059405
2.0,2008,2,2118,1.3397129186602872
2.0,2008,3,2004,-5.382436260623229
2.0,2009,0,2440,21.756487025948104
2.0,2009,1,2390,-2.0491803278688523
2.0,2009,2,2322,-2.8451882845188283
2.0,2009,3,1991,-14.25495262704565
2.0,2010,0,2331,17.076845806127576
2.0,2010,1,2650,13.685113685113684
2.0,2010,2,2602,-1.8113207547169812
2.0,2010,3,2342,-9.992313604919293
2.0,2011,0,2638,12.63877028181042
2.0,2011,1,3251,23.237300985595148
2.0,2011,2,2540,-21.870193786527224
2.0,2011,3,2578,1.4960629921259843
2.0,2012,0,2764,7.21489526764934
2.0,2012,1,2720,-1.5918958031837915
2.0,2012,2,2815,3.4926470588235294
2.0,2012,3,2353,-16.41207815275311
2.0,2013,0,2579,9.604759881002975
2.0,2013,1,2759,6.979449398991858
2.0,2013,2,2459,-10.873504893077202
2.0,2013,3,2384,-3.05002033346889
2.0,2014,0,2508,5.201342281879195
2.0,2014,1,2628,4.784688995215311
2.0,2014,2,2398,-8.751902587519025
2.0,2014,3,1984,-17.264386989157632
2.0,2015,0,2174,9.576612903225806
2.0,2015,1,2333,7.313707451701931
2.0,2015,2,2552,9.387055293613374
2.0,2015,3,2328,-8.77742946708464
2.0,2016,0,2222,-4.553264604810996
2.0,2016,1,1886,-15.121512151215121
2.0,2016,2,1774,-5.938494167550371
2.0,2016,3,1877,5.80608793686584
2.0,2017,0,1762,-6.126798082045818
2.0,2017,1,1779,0.9648127128263337
2.0,2017,2,1710,-3.87858347386172
2.0,2017,3,1688,-1.2865497076023393
2.0,2018,0,1675,-0.7701421800947867
2.0,2018,1,1443,-13.850746268656716
2.0,2018,2,1360,-5.751905751905752
2.0,2018,3,1161,-14.632352941176471
2.0,2019,0,1284,10.594315245478036
2.0,2019,1,1304,1.557632398753894
2.0,2019,2,1154,-11.503067484662576
2.0,2019,3,968,-16.11785095320624
2.0,2020,0,1000,3.3057851239669422
2.0,2020,1,653,-34.699999999999996
2.0,2020,2,597,-8.575803981623277
2.0,2020,3,731,22.445561139028474
2.0,2021,0,791,8.207934336525307
2.0,2021,1,821,3.792667509481669
2.0,2021,2,988,20.34104750304507
2.0,2021,3,1050,6.275303643724696
2.0,2022,0,1149,9.428571428571429
2.0,2022,1,1184,3.0461270670147953
2.0,2022,2,1036,-12.5
2.0,2022,3,997,-3.7644787644787647
2.0,2023,0,1018,2.106318956870612
2.0,2023,1,1176,15.520628683693516
3.0,2006,0,5060,
3.0,2006,1,5547,9.624505928853754
3.0,2006,2,5674,2.289525869839553
3.0,2006,3,5330,-6.062742333450828
3.0,2007,0,5909,10.863039399624766
3.0,2007,1,5430,-8.106278558131663
3.0,2007,2,5231,-3.664825046040516
3.0,2007,3,5074,-3.00133817625693
3.0,2008,0,5423,6.878202601497832
3.0,2008,1,5421,-0.03687995574405311
3.0,2008,2,5605,3.3942077107544733
3.0,2008,3,5658,0.9455842997323818
3.0,2009,0,6129,8.324496288441145
3.0,2009,1,5742,-6.31424375917768
3.0,2009,2,5547,-3.3960292580982236
3.0,2009,3,5552,0.09013881377321074
3.0,2010,0,5619,1.206772334293948
3.0,2010,1,5568,-0.9076348104644953
3.0,2010,2,5594,0.4669540229885058
3.0,2010,3,5134,-8.22309617447265
3.0,2011,0,5114,-0.38955979742890534
3.0,2011,1,5622,9.93351583887368
3.0,2011,2,5120,-8.929206688011384
3.0,2011,3,5316,3.8281250000000004
3.0,2012,0,5395,1.4860797592174566
3.0,2012,1,5119,-5.1158480074142725
3.0,2012,2,5497,7.384254737253369
3.0,2012,3,4831,-12.115699472439513
3.0,2013,0,5996,24.115090043469262
3.0,2013,1,5907,-1.4843228819212808
3.0,2013,2,5734,-2.9287286270526494
3.0,2013,3,6067,5.807464248343216
3.0,2014,0,6295,3.7580352727872093
3.0,2014,1,6436,2.2398729150119143
3.0,2014,2,6146,-4.505904288377875
3.0,2014,3,5294,-13.862674910510902
3.0,2015,0,5261,-0.6233471854930109
3.0,2015,1,5314,1.007413039346132
3.0,2015,2,5525,3.9706435829883326
3.0,2015,3,5095,-7.782805429864253
3.0,2016,0,5216,2.3748773307163886
3.0,2016,1,4632,-11.196319018404909
3.0,2016,2,4183,-9.693436960276339
3.0,2016,3,4189,0.14343772412144393
3.0,2017,0,4145,-1.0503700167104322
3.0,2017,1,4074,-1.7129071170084438
3.0,2017,2,4093,0.46637211585665195
3.0,2017,3,4053,-0.9772782799902272
3.0,2018,0,3914,-3.4295583518381445
3.0,2018,1,3541,-9.529892692897292
3.0,2018,2,3203,-9.545326179045468
3.0,2018,3,3073,-4.058694973462379
3.0,2019,0,2911,-5.271721444842173
3.0,2019,1,2915,0.13740982480247338
3.0,2019,2,2720,-6.689536878216123
3.0,2019,3,2510,-7.720588235294118
3.0,2020,0,2411,-3.944223107569721
3.0,2020,1,1306,-45.83160514309415
3.0,2020,2,1186,-9.188361408882082
3.0,2020,3,1861,56.91399662731872
3.0,2021,0,1931,3.7614185921547554
3.0,2021,1,1970,2.0196789228379077
3.0,2021,2,2476,25.68527918781726
3.0,2021,3,2747,10.945072697899839
3.0,2022,0,2439,-11.212231525300327
3.0,2022,1,2804,14.965149651496516
3.0,2022,2,2654,-5.349500713266762
3.0,2022,3,2737,3.1273549359457418
3.0,2023,0,2910,6.320789185239313
3.0,2023,1,3283,12.817869415807559
4.0,2006,0,1987,
4.0,2006,1,2101,5.737292400603926
4.0,2006,2,2156,2.6178010471204187
4.0,2006,3,2256,4.638218923933209
4.0,2007,0,2316,2.6595744680851063
4.0,2007,1,2469,6.60621761658031
4.0,2007,2,2403,-2.67314702308627
4.0,2007,3,2210,-8.031627132750728
4.0,2008,0,2177,-1.493212669683258
4.0,2008,1,2019,-7.257694074414332
4.0,2008,2,2095,3.7642397226349678
4.0,2008,3,2226,6.252983293556086
4.0,2009,0,2479,11.365678346810421
4.0,2009,1,2322,-6.3331988705123035
4.0,2009,2,2064,-11.11111111111111
4.0,2009,3,2445,18.459302325581394
4.0,2010,0,2663,8.916155419222903
4.0,2010,1,2561,-3.8302666165978225
4.0,2010,2,2576,0.5857087075361187
4.0,2010,3,2512,-2.484472049689441
4.0,2011,0,2639,5.055732484076433
4.0,2011,1,2489,-5.6839712012125805
4.0,2011,2,2101,-15.588589795098434
4.0,2011,3,2306,9.757258448357925
4.0,2012,0,2336,1.3009540329575022
4.0,2012,1,2107,-9.803082191780822
4.0,2012,2,2128,0.9966777408637874
4.0,2012,3,2127,-0.046992481203007516
4.0,2013,0,2155,1.316408086506817
4.0,2013,1,2153,-0.09280742459396751
4.0,2013,2,2072,-3.7621922898281466
4.0,2013,3,2138,3.1853281853281854
4.0,2014,0,2228,4.20954162768943
4.0,2014,1,2294,2.96229802513465
4.0,2014,2,2183,-4.838709677419355
4.0,2014,3,1981,-9.253321117727896
4.0,2015,0,1966,-0.7571933366986371
4.0,2015,1,1842,-6.3072227873855535
4.0,2015,2,1951,5.917480998914224
4.0,2015,3,1928,-1.1788826242952333
4.0,2016,0,1997,3.5788381742738586
4.0,2016,1,1806,-9.564346519779669
4.0,2016,2,1542,-14.61794019933555
4.0,2016,3,1730,12.19195849546044
4.0,2017,0,1697,-1.907514450867052
4.0,2017,1,1769,4.242781378903948
4.0,2017,2,1690,-4.465799886941775
4.0,2017,3,1894,12.071005917159763
4.0,2018,0,1719,-9.239704329461457
4.0,2018,1,1382,-19.604421175101802
