Zipcode,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
10003.0,2021,1,282,5.617977528089887
10003.0,2021,2,336,19.148936170212767
10003.0,2021,3,398,18.452380952380953
10003.0,2022,0,419,5.276381909547738
10003.0,2022,1,449,7.159904534606206
10003.0,2022,2,403,-10.244988864142538
10003.0,2022,3,376,-6.699751861042183
10003.0,2023,0,417,10.904255319148938
10003.0,2023,1,468,12.23021582733813
10004.0,2006,0,131,
10004.0,2006,1,86,-34.35114503816794
10004.0,2006,2,66,-23.25581395348837
10004.0,2006,3,84,27.27272727272727
10004.0,2007,0,79,-5.952380952380952
10004.0,2007,1,61,-22.78481012658228
10004.0,2007,2,60,-1.639344262295082
10004.0,2007,3,34,-43.333333333333336
10004.0,2008,0,58,70.58823529411765
10004.0,2008,1,60,3.4482758620689653
10004.0,2008,2,75,25.0
10004.0,2008,3,54,-28.000000000000004
10004.0,2009,0,74,37.03703703703704
10004.0,2009,1,53,-28.37837837837838
10004.0,2009,2,116,118.86792452830188
10004.0,2009,3,62,-46.55172413793103
10004.0,2010,0,76,22.58064516129032
10004.0,2010,1,97,27.631578947368425
10004.0,2010,2,88,-9.278350515463918
10004.0,2010,3,74,-15.909090909090908
10004.0,2011,0,121,63.51351351351351
10004.0,2011,1,179,47.93388429752066
10004.0,2011,2,152,-15.083798882681565
10004.0,2011,3,157,3.289473684210526
10004.0,2012,0,132,-15.92356687898089
10004.0,2012,1,219,65.9090909090909
10004.0,2012,2,182,-16.894977168949772
10004.0,2012,3,92,-49.45054945054945
10004.0,2013,0,60,-34.78260869565217
10004.0,2013,1,119,98.33333333333333
10004.0,2013,2,141,18.487394957983195
10004.0,2013,3,96,-31.914893617021278
10004.0,2014,0,45,-53.125
10004.0,2014,1,63,40.0
10004.0,2014,2,111,76.19047619047619
10004.0,2014,3,72,-35.13513513513514
10004.0,2015,0,70,-2.7777777777777777
10004.0,2015,1,97,38.57142857142858
10004.0,2015,2,103,6.185567010309279
10004.0,2015,3,108,4.854368932038835
10004.0,2016,0,70,-35.18518518518518
10004.0,2016,1,92,31.428571428571427
10004.0,2016,2,115,25.0
10004.0,2016,3,142,23.47826086956522
10004.0,2017,0,99,-30.28169014084507
10004.0,2017,1,112,13.131313131313133
10004.0,2017,2,105,-6.25
10004.0,2017,3,99,-5.714285714285714
10004.0,2018,0,57,-42.42424242424242
10004.0,2018,1,39,-31.57894736842105
10004.0,2018,2,54,38.46153846153847
10004.0,2018,3,56,3.7037037037037033
10004.0,2019,0,34,-39.285714285714285
10004.0,2019,1,32,-5.88235294117647
10004.0,2019,2,38,18.75
10004.0,2019,3,44,15.789473684210526
10004.0,2020,0,22,-50.0
10004.0,2020,1,2,-90.9090909090909
10004.0,2020,2,10,400.0
10004.0,2020,3,10,0.0
10004.0,2021,0,22,120.0
10004.0,2021,1,20,-9.090909090909092
10004.0,2021,2,11,-45.0
10004.0,2021,3,13,18.181818181818183
10004.0,2022,0,6,-53.84615384615385
10004.0,2022,1,16,166.66666666666669
10004.0,2022,2,17,6.25
10004.0,2022,3,23,35.294117647058826
10004.0,2023,0,12,-47.82608695652174
10004.0,2023,1,23,91.66666666666666
10005.0,2006,0,15,
10005.0,2006,1,25,66.66666666666666
10005.0,2006,2,26,4.0
10005.0,2006,3,15,-42.30769230769231
10005.0,2007,0,16,6.666666666666667
10005.0,2007,1,26,62.5
10005.0,2007,2,21,-19.230769230769234
10005.0,2007,3,19,-9.523809523809524
10005.0,2008,0,26,36.84210526315789
10005.0,2008,1,40,53.84615384615385
10005.0,2008,2,24,-40.0
10005.0,2008,3,18,-25.0
10005.0,2009,0,15,-16.666666666666664
10005.0,2009,1,24,60.0
10005.0,2009,2,19,-20.833333333333336
10005.0,2009,3,13,-31.57894736842105
10005.0,2010,0,8,-38.46153846153847
10005.0,2010,1,16,100.0
10005.0,2010,2,23,43.75
10005.0,2010,3,16,-30.434782608695656
10005.0,2011,0,8,-50.0
10005.0,2011,1,24,200.0
10005.0,2011,2,24,0.0
10005.0,2011,3,149,520.8333333333333
10005.0,2012,0,31,-79.19463087248322
10005.0,2012,1,81,161.29032258064515
10005.0,2012,2,71,-12.345679012345679
10005.0,2012,3,15,-78.87323943661971
10005.0,2013,0,16,6.666666666666667
10005.0,2013,1,22,37.5
10005.0,2013,2,30,36.36363636363637
10005.0,2013,3,13,-56.666666666666664
10005.0,2014,0,20,53.84615384615385
10005.0,2014,1,34,70.0
10005.0,2014,2,38,11.76470588235294
10005.0,2014,3,18,-52.63157894736842
10005.0,2015,0,27,50.0
10005.0,2015,1,17,-37.03703703703704
10005.0,2015,2,29,70.58823529411765
10005.0,2015,3,16,-44.827586206896555
10005.0,2016,0,20,25.0
10005.0,2016,1,11,-45.0
10005.0,2016,2,18,63.63636363636363
10005.0,2016,3,16,-11.11111111111111
10005.0,2017,0,18,12.5
10005.0,2017,1,16,-11.11111111111111
10005.0,2017,2,21,31.25
10005.0,2017,3,27,28.57142857142857
10005.0,2018,0,11,-59.25925925925925
10005.0,2018,1,22,100.0
10005.0,2018,2,18,-18.181818181818183
10005.0,2018,3,19,5.555555555555555
10005.0,2019,0,15,-21.052631578947366
10005.0,2019,1,24,60.0
10005.0,2019,2,29,20.833333333333336
10005.0,2019,3,21,-27.586206896551722
10005.0,2020,0,6,-71.42857142857143
10005.0,2020,1,14,133.33333333333331
10005.0,2020,2,14,0.0
10005.0,2020,3,9,-35.714285714285715
10005.0,2021,0,13,44.44444444444444
10005.0,2021,1,16,23.076923076923077
10005.0,2021,2,16,0.0
10005.0,2021,3,15,-6.25
10005.0,2022,0,16,6.666666666666667
10005.0,2022,1,46,187.5
10005.0,2022,2,38,-17.391304347826086
10005.0,2022,3,21,-44.73684210526316
10005.0,2023,0,24,14.285714285714285
10005.0,2023,1,27,12.5
10006.0,2006,0,24,
10006.0,2006,1,16,-33.33333333333333
10006.0,2006,2,36,125.0
10006.0,2006,3,32,-11.11111111111111
10006.0,2007,0,29,-9.375
10006.0,2007,1,23,-20.689655172413794
10006.0,2007,2,35,52.17391304347826
10006.0,2007,3,30,-14.285714285714285
10006.0,2008,0,33,10.0
10006.0,2008,1,38,15.151515151515152
10006.0,2008,2,44,15.789473684210526
10006.0,2008,3,20,-54.54545454545454
10006.0,2009,0,26,30.0
10006.0,2009,1,25,-3.8461538461538463
10006.0,2009,2,19,-24.0
10006.0,2009,3,40,110.5263157894737
10006.0,2010,0,22,-45.0
10006.0,2010,1,23,4.545454545454546
10006.0,2010,2,46,100.0
10006.0,2010,3,27,-41.30434782608695
10006.0,2011,0,19,-29.629629629629626
10006.0,2011,1,21,10.526315789473683
10006.0,2011,2,32,52.38095238095239
10006.0,2011,3,270,743.75
10006.0,2012,0,132,-51.11111111111111
10006.0,2012,1,61,-53.78787878787878
10006.0,2012,2,160,162.29508196721312
10006.0,2012,3,44,-72.5
10006.0,2013,0,30,-31.818181818181817
10006.0,2013,1,27,-10.0
10006.0,2013,2,49,81.48148148148148
10006.0,2013,3,40,-18.367346938775512
10006.0,2014,0,29,-27.500000000000004
10006.0,2014,1,34,17.24137931034483
10006.0,2014,2,129,279.4117647058823
10006.0,2014,3,22,-82.94573643410853
10006.0,2015,0,15,-31.818181818181817
10006.0,2015,1,33,120.0
10006.0,2015,2,26,-21.21212121212121
10006.0,2015,3,21,-19.230769230769234
10006.0,2016,0,21,0.0
10006.0,2016,1,27,28.57142857142857
10006.0,2016,2,19,-29.629629629629626
10006.0,2016,3,59,210.52631578947367
10006.0,2017,0,12,-79.66101694915254
10006.0,2017,1,19,58.333333333333336
10006.0,2017,2,21,10.526315789473683
10006.0,2017,3,16,-23.809523809523807
10006.0,2018,0,29,81.25
10006.0,2018,1,11,-62.06896551724138
10006.0,2018,2,19,72.72727272727273
10006.0,2018,3,28,47.368421052631575
10006.0,2019,0,23,-17.857142857142858
10006.0,2019,1,16,-30.434782608695656
10006.0,2019,2,38,137.5
10006.0,2019,3,83,118.42105263157893
10006.0,2020,0,13,-84.33734939759037
10006.0,2020,1,13,0.0
10006.0,2020,2,7,-46.15384615384615
10006.0,2020,3,11,57.14285714285714
10006.0,2021,0,11,0.0
10006.0,2021,1,6,-45.45454545454545
10006.0,2021,2,12,100.0
10006.0,2021,3,8,-33.33333333333333
10006.0,2022,0,8,0.0
10006.0,2022,1,3,-62.5
10006.0,2022,2,10,233.33333333333334
10006.0,2022,3,25,150.0
10006.0,2023,0,8,-68.0
10006.0,2023,1,14,75.0
10007.0,2006,0,254,
10007.0,2006,1,250,-1.574803149606299
10007.0,2006,2,293,17.2
10007.0,2006,3,309,5.460750853242321
10007.0,2007,0,354,14.563106796116504
10007.0,2007,1,300,-15.254237288135593
10007.0,2007,2,344,14.666666666666666
10007.0,2007,3,265,-22.96511627906977
10007.0,2008,0,285,7.547169811320755
10007.0,2008,1,314,10.175438596491228
10007.0,2008,2,302,-3.821656050955414
10007.0,2008,3,298,-1.3245033112582782
10007.0,2009,0,383,28.523489932885905
10007.0,2009,1,347,-9.39947780678851
