Zipcode,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
83.0,2006,774,
83.0,2007,861,11.24031007751938
83.0,2008,911,5.807200929152149
83.0,2009,827,-9.220636663007683
83.0,2010,949,14.752116082224909
83.0,2011,845,-10.95890410958904
83.0,2012,783,-7.337278106508875
83.0,2013,674,-13.92081736909323
83.0,2014,595,-11.72106824925816
83.0,2015,593,-0.33613445378151263
83.0,2016,375,-36.76222596964587
83.0,2017,345,-8.0
83.0,2018,222,-35.65217391304348
83.0,2019,179,-19.36936936936937
83.0,2020,76,-57.54189944134078
83.0,2021,104,36.84210526315789
83.0,2022,186,78.84615384615384
83.0,2023,71,-61.82795698924731
10001.0,2006,7295,
10001.0,2007,7366,0.9732693625771076
10001.0,2008,7375,0.12218300298669563
10001.0,2009,8281,12.284745762711864
10001.0,2010,8416,1.6302378939741575
10001.0,2011,7553,-10.254277566539924
10001.0,2012,6932,-8.221898583344366
10001.0,2013,7502,8.222735141373342
10001.0,2014,6994,-6.771527592641963
10001.0,2015,6331,-9.479553903345725
10001.0,2016,4801,-24.166798294108354
10001.0,2017,4069,-15.246823578421163
10001.0,2018,3790,-6.856721553207176
10001.0,2019,3052,-19.472295514511874
10001.0,2020,1539,-49.5740498034076
10001.0,2021,2132,38.53151397011046
10001.0,2022,2647,24.155722326454036
10001.0,2023,1704,-35.62523611635814
10002.0,2006,4088,
10002.0,2007,4421,8.145792563600782
10002.0,2008,4060,-8.165573399683328
10002.0,2009,4376,7.783251231527094
10002.0,2010,4762,8.820840950639854
10002.0,2011,4832,1.4699706005879882
10002.0,2012,5020,3.8907284768211916
10002.0,2013,4950,-1.394422310756972
10002.0,2014,4500,-9.090909090909092
10002.0,2015,4419,-1.7999999999999998
10002.0,2016,3734,-15.501244625480878
10002.0,2017,3500,-6.266738082485271
10002.0,2018,2813,-19.62857142857143
10002.0,2019,2537,-9.811589050835407
10002.0,2020,1486,-41.42688214426488
10002.0,2021,1865,25.50471063257066
10002.0,2022,2342,25.576407506702413
10002.0,2023,1144,-51.152860802732704
10003.0,2006,2705,
10003.0,2007,2963,9.537892791127542
10003.0,2008,3315,11.879851501856226
10003.0,2009,3928,18.491704374057317
10003.0,2010,4806,22.35234215885947
10003.0,2011,5302,10.320432792342906
10003.0,2012,4675,-11.825726141078837
10003.0,2013,4044,-13.497326203208557
10003.0,2014,3707,-8.333333333333332
10003.0,2015,3563,-3.884542756946318
10003.0,2016,2896,-18.720179623912433
10003.0,2017,2635,-9.012430939226519
10003.0,2018,2221,-15.71157495256167
10003.0,2019,1791,-19.360648356596126
10003.0,2020,1160,-35.23171412618649
