State_Assembly_District,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
24.0,2011,1,905,-5.136268343815513
24.0,2011,2,750,-17.12707182320442
24.0,2011,3,791,5.466666666666667
24.0,2012,0,898,13.527180783817952
24.0,2012,1,862,-4.008908685968819
24.0,2012,2,958,11.1368909512761
24.0,2012,3,755,-21.189979123173277
24.0,2013,0,1019,34.966887417218544
24.0,2013,1,1025,0.5888125613346418
24.0,2013,2,954,-6.926829268292684
24.0,2013,3,1017,6.60377358490566
24.0,2014,0,956,-5.99803343166175
24.0,2014,1,1011,5.7531380753138075
24.0,2014,2,878,-13.155291790306627
24.0,2014,3,755,-14.009111617312072
24.0,2015,0,684,-9.403973509933774
24.0,2015,1,783,14.473684210526317
24.0,2015,2,862,10.089399744572159
24.0,2015,3,802,-6.960556844547564
24.0,2016,0,810,0.997506234413965
24.0,2016,1,913,12.716049382716049
24.0,2016,2,817,-10.514786418400876
24.0,2016,3,843,3.182374541003672
24.0,2017,0,863,2.372479240806643
24.0,2017,1,913,5.793742757821553
24.0,2017,2,771,-15.553121577217963
24.0,2017,3,723,-6.22568093385214
24.0,2018,0,678,-6.224066390041494
24.0,2018,1,698,2.949852507374631
24.0,2018,2,717,2.722063037249284
24.0,2018,3,615,-14.225941422594143
24.0,2019,0,517,-15.934959349593496
24.0,2019,1,598,15.667311411992262
24.0,2019,2,577,-3.511705685618729
24.0,2019,3,478,-17.157712305025996
24.0,2020,0,492,2.928870292887029
24.0,2020,1,387,-21.341463414634145
24.0,2020,2,397,2.5839793281653747
24.0,2020,3,423,6.54911838790932
24.0,2021,0,456,7.801418439716312
24.0,2021,1,458,0.43859649122807015
24.0,2021,2,537,17.248908296943235
24.0,2021,3,455,-15.27001862197393
24.0,2022,0,506,11.20879120879121
24.0,2022,1,646,27.66798418972332
24.0,2022,2,591,-8.513931888544892
24.0,2022,3,641,8.460236886632826
24.0,2023,0,643,0.31201248049922
24.0,2023,1,685,6.531881804043546
25.0,2006,0,502,
25.0,2006,1,467,-6.97211155378486
25.0,2006,2,397,-14.989293361884368
25.0,2006,3,396,-0.2518891687657431
25.0,2007,0,465,17.424242424242426
25.0,2007,1,417,-10.32258064516129
25.0,2007,2,389,-6.71462829736211
25.0,2007,3,422,8.483290488431876
25.0,2008,0,468,10.90047393364929
25.0,2008,1,445,-4.914529914529915
25.0,2008,2,424,-4.719101123595506
25.0,2008,3,432,1.8867924528301887
25.0,2009,0,544,25.925925925925924
25.0,2009,1,447,-17.830882352941178
25.0,2009,2,472,5.592841163310962
25.0,2009,3,394,-16.52542372881356
25.0,2010,0,421,6.852791878172589
25.0,2010,1,520,23.51543942992874
25.0,2010,2,440,-15.384615384615385
25.0,2010,3,437,-0.6818181818181818
25.0,2011,0,462,5.720823798627003
25.0,2011,1,447,-3.2467532467532463
25.0,2011,2,372,-16.778523489932887
25.0,2011,3,425,14.24731182795699
25.0,2012,0,446,4.941176470588235
25.0,2012,1,517,15.919282511210762
25.0,2012,2,409,-20.889748549323016
25.0,2012,3,388,-5.134474327628362
25.0,2013,0,470,21.1340206185567
25.0,2013,1,466,-0.851063829787234
25.0,2013,2,462,-0.8583690987124464
25.0,2013,3,479,3.67965367965368
25.0,2014,0,418,-12.734864300626306
25.0,2014,1,490,17.22488038277512
25.0,2014,2,374,-23.6734693877551
25.0,2014,3,356,-4.81283422459893
25.0,2015,0,383,7.584269662921349
25.0,2015,1,406,6.005221932114883
25.0,2015,2,430,5.911330049261084
25.0,2015,3,418,-2.7906976744186047
25.0,2016,0,317,-24.16267942583732
25.0,2016,1,357,12.618296529968454
25.0,2016,2,325,-8.96358543417367
25.0,2016,3,327,0.6153846153846154
25.0,2017,0,357,9.174311926605505
25.0,2017,1,337,-5.602240896358544
25.0,2017,2,341,1.1869436201780417
25.0,2017,3,325,-4.69208211143695
25.0,2018,0,304,-6.461538461538462
25.0,2018,1,277,-8.881578947368421
25.0,2018,2,261,-5.776173285198556
25.0,2018,3,266,1.9157088122605364
25.0,2019,0,270,1.5037593984962405
25.0,2019,1,325,20.37037037037037
25.0,2019,2,282,-13.230769230769232
25.0,2019,3,254,-9.929078014184398
25.0,2020,0,241,-5.118110236220472
25.0,2020,1,92,-61.82572614107884
25.0,2020,2,137,48.91304347826087
25.0,2020,3,168,22.62773722627737
25.0,2021,0,181,7.738095238095238
25.0,2021,1,171,-5.524861878453039
25.0,2021,2,197,15.204678362573098
25.0,2021,3,218,10.65989847715736
25.0,2022,0,241,10.550458715596331
25.0,2022,1,256,6.224066390041494
25.0,2022,2,210,-17.96875
25.0,2022,3,255,21.428571428571427
25.0,2023,0,313,22.745098039215687
25.0,2023,1,292,-6.7092651757188495
26.0,2006,0,332,
26.0,2006,1,332,0.0
26.0,2006,2,252,-24.096385542168676
26.0,2006,3,384,52.38095238095239
26.0,2007,0,356,-7.291666666666667
26.0,2007,1,367,3.089887640449438
26.0,2007,2,320,-12.806539509536785
26.0,2007,3,368,15.0
26.0,2008,0,364,-1.0869565217391304
26.0,2008,1,315,-13.461538461538462
26.0,2008,2,370,17.46031746031746
26.0,2008,3,376,1.6216216216216217
26.0,2009,0,395,5.053191489361701
26.0,2009,1,403,2.0253164556962027
26.0,2009,2,316,-21.588089330024815
26.0,2009,3,279,-11.708860759493671
26.0,2010,0,362,29.749103942652326
26.0,2010,1,342,-5.524861878453039
26.0,2010,2,346,1.1695906432748537
26.0,2010,3,346,0.0
26.0,2011,0,349,0.8670520231213872
26.0,2011,1,349,0.0
26.0,2011,2,266,-23.78223495702006
26.0,2011,3,307,15.413533834586465
26.0,2012,0,354,15.309446254071663
26.0,2012,1,330,-6.779661016949152
26.0,2012,2,291,-11.818181818181818
26.0,2012,3,279,-4.123711340206185
26.0,2013,0,329,17.921146953405017
26.0,2013,1,300,-8.814589665653495
26.0,2013,2,273,-9.0
26.0,2013,3,299,9.523809523809524
26.0,2014,0,330,10.367892976588628
26.0,2014,1,314,-4.848484848484849
26.0,2014,2,232,-26.11464968152866
26.0,2014,3,256,10.344827586206897
26.0,2015,0,219,-14.453125
26.0,2015,1,284,29.68036529680365
26.0,2015,2,244,-14.084507042253522
26.0,2015,3,299,22.540983606557376
26.0,2016,0,275,-8.02675585284281
26.0,2016,1,297,8.0
26.0,2016,2,256,-13.804713804713806
26.0,2016,3,279,8.984375
26.0,2017,0,287,2.867383512544803
26.0,2017,1,274,-4.529616724738676
26.0,2017,2,235,-14.233576642335766
26.0,2017,3,262,11.48936170212766
26.0,2018,0,186,-29.00763358778626
26.0,2018,1,186,0.0
26.0,2018,2,183,-1.6129032258064515
26.0,2018,3,179,-2.185792349726776
26.0,2019,0,155,-13.40782122905028
26.0,2019,1,175,12.903225806451612
26.0,2019,2,155,-11.428571428571429
26.0,2019,3,137,-11.612903225806452
26.0,2020,0,112,-18.248175182481752
26.0,2020,1,81,-27.67857142857143
26.0,2020,2,84,3.7037037037037033
26.0,2020,3,93,10.714285714285714
26.0,2021,0,96,3.225806451612903
26.0,2021,1,100,4.166666666666666
26.0,2021,2,144,44.0
26.0,2021,3,115,-20.13888888888889
26.0,2022,0,119,3.4782608695652173
26.0,2022,1,123,3.361344537815126
26.0,2022,2,145,17.88617886178862
26.0,2022,3,130,-10.344827586206897
26.0,2023,0,186,43.07692307692308
26.0,2023,1,152,-18.27956989247312
27.0,2006,0,741,
27.0,2006,1,786,6.0728744939271255
27.0,2006,2,580,-26.208651399491096
27.0,2006,3,554,-4.482758620689655
27.0,2007,0,594,7.2202166064981945
27.0,2007,1,579,-2.525252525252525
27.0,2007,2,709,22.452504317789295
27.0,2007,3,517,-27.080394922425953
27.0,2008,0,566,9.477756286266924
27.0,2008,1,710,25.4416961130742
27.0,2008,2,680,-4.225352112676056
27.0,2008,3,685,0.7352941176470588
27.0,2009,0,766,11.824817518248175
27.0,2009,1,797,4.046997389033943
27.0,2009,2,681,-14.554579673776663
27.0,2009,3,681,0.0
27.0,2010,0,724,6.31424375917768
27.0,2010,1,781,7.872928176795579
27.0,2010,2,634,-18.82202304737516
27.0,2010,3,726,14.511041009463725
27.0,2011,0,699,-3.71900826446281
27.0,2011,1,773,10.586552217453505
27.0,2011,2,701,-9.314359637774903
27.0,2011,3,758,8.131241084165477
27.0,2012,0,788,3.95778364116095
27.0,2012,1,710,-9.898477157360407
27.0,2012,2,751,5.774647887323944
27.0,2012,3,653,-13.049267643142477
27.0,2013,0,829,26.952526799387442
27.0,2013,1,843,1.6887816646562124
27.0,2013,2,795,-5.6939501779359425
27.0,2013,3,830,4.40251572327044
27.0,2014,0,866,4.337349397590361
27.0,2014,1,817,-5.658198614318707
27.0,2014,2,795,-2.692778457772338
27.0,2014,3,716,-9.937106918238994
27.0,2015,0,685,-4.329608938547486
27.0,2015,1,746,8.905109489051096
27.0,2015,2,687,-7.908847184986595
27.0,2015,3,696,1.3100436681222707
27.0,2016,0,730,4.885057471264368
27.0,2016,1,785,7.534246575342466
27.0,2016,2,743,-5.35031847133758
27.0,2016,3,701,-5.652759084791386
27.0,2017,0,817,16.547788873038517
27.0,2017,1,752,-7.9559363525091795
27.0,2017,2,666,-11.436170212765957
27.0,2017,3,678,1.8018018018018018
27.0,2018,0,694,2.359882005899705
27.0,2018,1,695,0.1440922190201729
27.0,2018,2,641,-7.76978417266187
27.0,2018,3,606,-5.46021840873635
27.0,2019,0,571,-5.775577557755775
27.0,2019,1,670,17.338003502626968
27.0,2019,2,682,1.791044776119403
27.0,2019,3,582,-14.66275659824047
27.0,2020,0,520,-10.652920962199312
27.0,2020,1,278,-46.53846153846154
27.0,2020,2,329,18.345323741007196
27.0,2020,3,412,25.227963525835868
27.0,2021,0,477,15.776699029126215
27.0,2021,1,392,-17.81970649895178
27.0,2021,2,490,25.0
27.0,2021,3,544,11.020408163265307
27.0,2022,0,478,-12.132352941176471
27.0,2022,1,532,11.297071129707113
27.0,2022,2,455,-14.473684210526317
27.0,2022,3,403,-11.428571428571429
27.0,2023,0,430,6.699751861042183
27.0,2023,1,526,22.325581395348838
28.0,2006,0,770,
28.0,2006,1,744,-3.3766233766233764
28.0,2006,2,645,-13.306451612903224
28.0,2006,3,718,11.317829457364342
28.0,2007,0,713,-0.6963788300835655
28.0,2007,1,796,11.640953716690042
28.0,2007,2,733,-7.914572864321608
28.0,2007,3,631,-13.915416098226466
28.0,2008,0,728,15.372424722662439
28.0,2008,1,782,7.417582417582418
28.0,2008,2,695,-11.12531969309463
28.0,2008,3,781,12.37410071942446
28.0,2009,0,926,18.56594110115237
28.0,2009,1,995,7.4514038876889845
28.0,2009,2,813,-18.291457286432163
28.0,2009,3,797,-1.968019680196802
28.0,2010,0,795,-0.2509410288582183
28.0,2010,1,890,11.949685534591195
28.0,2010,2,801,-10.0
28.0,2010,3,823,2.746566791510612
28.0,2011,0,901,9.477521263669502
28.0,2011,1,993,10.21087680355161
28.0,2011,2,658,-33.7361530715005
28.0,2011,3,761,15.653495440729484
28.0,2012,0,964,26.675427069645202
28.0,2012,1,823,-14.626556016597512
28.0,2012,2,815,-0.9720534629404617
28.0,2012,3,729,-10.552147239263803
28.0,2013,0,937,28.532235939643346
28.0,2013,1,875,-6.616862326574173
28.0,2013,2,850,-2.857142857142857
28.0,2013,3,755,-11.176470588235295
28.0,2014,0,801,6.0927152317880795
28.0,2014,1,757,-5.493133583021224
28.0,2014,2,810,7.001321003963012
28.0,2014,3,727,-10.246913580246913
28.0,2015,0,648,-10.866574965612106
28.0,2015,1,697,7.561728395061729
28.0,2015,2,723,3.7302725968436152
28.0,2015,3,686,-5.117565698478561
28.0,2016,0,652,-4.956268221574344
28.0,2016,1,667,2.3006134969325154
28.0,2016,2,587,-11.994002998500749
28.0,2016,3,586,-0.17035775127768313
28.0,2017,0,566,-3.4129692832764507
28.0,2017,1,598,5.6537102473498235
28.0,2017,2,598,0.0
28.0,2017,3,593,-0.8361204013377926
28.0,2018,0,584,-1.5177065767284992
28.0,2018,1,640,9.58904109589041
28.0,2018,2,539,-15.78125
28.0,2018,3,590,9.461966604823747
28.0,2019,0,612,3.728813559322034
28.0,2019,1,614,0.32679738562091504
28.0,2019,2,534,-13.029315960912053
28.0,2019,3,539,0.9363295880149813
28.0,2020,0,493,-8.534322820037106
28.0,2020,1,332,-32.657200811359026
28.0,2020,2,379,14.156626506024098
28.0,2020,3,473,24.80211081794195
28.0,2021,0,499,5.496828752642706
28.0,2021,1,435,-12.825651302605209
28.0,2021,2,514,18.160919540229887
28.0,2021,3,495,-3.6964980544747084
28.0,2022,0,667,34.74747474747475
28.0,2022,1,658,-1.3493253373313343
28.0,2022,2,600,-8.814589665653495
28.0,2022,3,579,-3.5000000000000004
28.0,2023,0,677,16.92573402417962
28.0,2023,1,667,-1.4771048744460855
29.0,2006,0,1181,
29.0,2006,1,1233,4.403048264182896
29.0,2006,2,1260,2.18978102189781
29.0,2006,3,1152,-8.571428571428571
29.0,2007,0,1117,-3.038194444444444
29.0,2007,1,1211,8.415398388540735
29.0,2007,2,1120,-7.514450867052023
29.0,2007,3,1031,-7.946428571428571
29.0,2008,0,1274,23.569350145489814
29.0,2008,1,1044,-18.053375196232338
29.0,2008,2,1159,11.015325670498084
29.0,2008,3,1121,-3.278688524590164
29.0,2009,0,1211,8.028545941123996
29.0,2009,1,1232,1.7341040462427744
29.0,2009,2,1333,8.19805194805195
29.0,2009,3,1223,-8.252063015753938
29.0,2010,0,1243,1.6353229762878168
29.0,2010,1,1342,7.964601769911504
29.0,2010,2,1333,-0.6706408345752608
29.0,2010,3,1309,-1.8004501125281318
29.0,2011,0,1447,10.542398777692895
29.0,2011,1,1510,4.353835521769177
29.0,2011,2,1357,-10.132450331125828
29.0,2011,3,1215,-10.464259395725865
29.0,2012,0,1533,26.172839506172842
29.0,2012,1,1387,-9.523809523809524
29.0,2012,2,1518,9.444844989185292
29.0,2012,3,1210,-20.28985507246377
29.0,2013,0,1546,27.768595041322314
29.0,2013,1,1758,13.71280724450194
29.0,2013,2,1657,-5.7451649601820245
29.0,2013,3,1488,-10.19915509957755
29.0,2014,0,1758,18.14516129032258
29.0,2014,1,1693,-3.6973833902161544
29.0,2014,2,1705,0.7088009450679268
29.0,2014,3,1290,-24.34017595307918
29.0,2015,0,1498,16.124031007751938
29.0,2015,1,1433,-4.339118825100133
29.0,2015,2,1444,0.7676203768318213
29.0,2015,3,1256,-13.019390581717452
29.0,2016,0,1383,10.111464968152866
29.0,2016,1,1240,-10.339840925524223
29.0,2016,2,988,-20.32258064516129
29.0,2016,3,864,-12.550607287449392
29.0,2017,0,1016,17.59259259259259
29.0,2017,1,963,-5.216535433070866
29.0,2017,2,945,-1.8691588785046727
29.0,2017,3,1017,7.6190476190476195
29.0,2018,0,909,-10.619469026548673
29.0,2018,1,811,-10.78107810781078
29.0,2018,2,820,1.1097410604192355
29.0,2018,3,740,-9.75609756097561
29.0,2019,0,890,20.27027027027027
29.0,2019,1,851,-4.382022471910112
29.0,2019,2,818,-3.8777908343125738
29.0,2019,3,660,-19.315403422982886
29.0,2020,0,664,0.6060606060606061
29.0,2020,1,525,-20.933734939759034
29.0,2020,2,531,1.1428571428571428
29.0,2020,3,583,9.792843691148775
29.0,2021,0,563,-3.430531732418525
29.0,2021,1,553,-1.7761989342806392
29.0,2021,2,677,22.423146473779383
29.0,2021,3,620,-8.419497784342688
29.0,2022,0,720,16.129032258064516
29.0,2022,1,800,11.11111111111111
29.0,2022,2,832,4.0
29.0,2022,3,914,9.85576923076923
29.0,2023,0,1028,12.472647702407002
29.0,2023,1,1099,6.906614785992218
30.0,2006,0,691,
30.0,2006,1,556,-19.536903039073806
30.0,2006,2,579,4.136690647482014
30.0,2006,3,662,14.335060449050086
30.0,2007,0,677,2.2658610271903323
30.0,2007,1,616,-9.010339734121123
30.0,2007,2,704,14.285714285714285
30.0,2007,3,736,4.545454545454546
30.0,2008,0,647,-12.092391304347826
30.0,2008,1,595,-8.0370942812983
30.0,2008,2,539,-9.411764705882353
30.0,2008,3,563,4.452690166975881
30.0,2009,0,612,8.703374777975133
30.0,2009,1,589,-3.758169934640523
30.0,2009,2,535,-9.168081494057725
30.0,2009,3,560,4.672897196261682
30.0,2010,0,593,5.892857142857142
30.0,2010,1,612,3.204047217537943
30.0,2010,2,554,-9.477124183006536
30.0,2010,3,656,18.4115523465704
30.0,2011,0,695,5.945121951219512
30.0,2011,1,586,-15.683453237410072
30.0,2011,2,480,-18.088737201365188
30.0,2011,3,496,3.3333333333333335
30.0,2012,0,586,18.14516129032258
30.0,2012,1,448,-23.549488054607508
30.0,2012,2,533,18.973214285714285
30.0,2012,3,468,-12.195121951219512
30.0,2013,0,587,25.427350427350426
30.0,2013,1,596,1.5332197614991483
30.0,2013,2,536,-10.06711409395973
30.0,2013,3,473,-11.753731343283583
30.0,2014,0,541,14.376321353065538
30.0,2014,1,518,-4.251386321626617
30.0,2014,2,553,6.756756756756757
30.0,2014,3,446,-19.349005424954793
30.0,2015,0,405,-9.192825112107624
30.0,2015,1,484,19.50617283950617
30.0,2015,2,430,-11.15702479338843
30.0,2015,3,461,7.209302325581396
30.0,2016,0,350,-24.07809110629067
30.0,2016,1,413,18.0
30.0,2016,2,313,-24.213075060532688
30.0,2016,3,426,36.102236421725244
30.0,2017,0,367,-13.849765258215962
30.0,2017,1,331,-9.809264305177113
30.0,2017,2,348,5.13595166163142
30.0,2017,3,336,-3.4482758620689653
30.0,2018,0,364,8.333333333333332
30.0,2018,1,341,-6.318681318681318
30.0,2018,2,297,-12.903225806451612
30.0,2018,3,302,1.6835016835016834
30.0,2019,0,303,0.33112582781456956
30.0,2019,1,317,4.62046204620462
30.0,2019,2,290,-8.517350157728707
30.0,2019,3,255,-12.068965517241379
30.0,2020,0,189,-25.882352941176475
30.0,2020,1,231,22.22222222222222
30.0,2020,2,156,-32.467532467532465
30.0,2020,3,170,8.974358974358974
30.0,2021,0,197,15.88235294117647
30.0,2021,1,212,7.614213197969544
30.0,2021,2,216,1.8867924528301887
30.0,2021,3,220,1.8518518518518516
30.0,2022,0,235,6.8181818181818175
30.0,2022,1,310,31.914893617021278
30.0,2022,2,313,0.967741935483871
30.0,2022,3,333,6.3897763578274756
30.0,2023,0,320,-3.903903903903904
30.0,2023,1,352,10.0
31.0,2006,0,1115,
31.0,2006,1,1046,-6.188340807174888
31.0,2006,2,1125,7.552581261950286
31.0,2006,3,1090,-3.111111111111111
31.0,2007,0,1257,15.321100917431194
31.0,2007,1,1204,-4.216388225934765
31.0,2007,2,1342,11.461794019933555
31.0,2007,3,1153,-14.083457526080476
31.0,2008,0,1180,2.3417172593235036
31.0,2008,1,1350,14.40677966101695
31.0,2008,2,1347,-0.2222222222222222
31.0,2008,3,1235,-8.314773570898293
31.0,2009,0,1257,1.7813765182186234
31.0,2009,1,1288,2.4661893396976926
31.0,2009,2,1386,7.608695652173914
31.0,2009,3,1141,-17.67676767676768
