Zipcode,Year,Population,Economy: Median worker earnings,Economy: Percent below poverty level,Economy: Unemployment rate,Race: White,Race: Black or African American,Race: American Indian and Alaska Native,Race: Asian,Race: Native Hawaiian and Other Pacific Islander,Race: Other,Race: Two or more,Ethnicity: Hispanic or Latino,Ethnicity: Not Hispanic or Latino,Immigration: Native-born,Immigration: Native-born – in the US,"Immigration: Native-born – in Puerto Rico, US islands, or abroad to US parents",Immigration: Foreign-born,Immigration: Foreign-born – Naturalized citizen,Immigration: Foreign-born: Not US citizen,Immigration: Foreign-born – Europe,Immigration: Foreign-born – Asia,Immigration: Foreign-born – Africa,Immigration: Foreign-born – Oceania,Immigration: Foreign-born – Latin America,Immigration: Foreign-born – North America,Language: Population 5+ years,Language: English only,Language: Not English,Language: Not English – Speaks English 'less than well',Language: Spanish,Language: Spanish – Speaks English 'less than well',Language: Other Indo-European,Language: Other Indo-European – Speaks English 'less than well',Language: Asian and Pacific Islander,Language: Asian and Pacific Islander – Speaks English 'less than well',Language: Other,Language: Other – Speaks English 'less than well'
10024,2012,58991,71833,7.3,4.6,48377,3748,359,3183,0,877,2447,6697,52294,47431,45873,1558,11560,5749,5811,4737,2499,667,190,2976,491,55486,42011,13475,3666,4872,1806,5582,1202,1730,515,1291,143
10025,2012,96449,50064,16.8,7.9,64321,14646,378,8411,0,5247,3446,20294,76155,72920,69474,3446,23529,11505,12024,6395,6352,841,176,8960,805,91868,60411,31457,9139,15957,5904,8820,1538,5044,1535,1636,162
10069,2012,5359,132377,3.7,6.5,4117,81,0,1001,0,95,65,286,5073,3923,3864,59,1436,659,777,547,653,0,0,128,108,4746,3245,1501,204,353,18,557,81,450,105,141,0
10021,2012,42646,73458,6.6,4.2,37594,986,109,2972,0,290,695,2491,40155,34441,33659,782,8205,4349,3856,3944,2498,208,169,1135,251,40065,30924,9141,1637,2069,509,4512,699,1819,402,741,27
10075,2012,24148,74128,7.4,4.6,21249,422,55,1550,0,503,369,1812,22336,19059,18599,460,5089,2838,2251,1747,1656,161,80,1278,167,23169,18065,5104,930,1417,273,2163,270,1076,292,448,95
10065,2012,32807,78784,5.6,5.0,28202,678,34,3080,32,173,608,1492,31315,25058,24318,740,7749,3873,3876,2416,3324,335,245,1150,279,30966,23475,7491,1392,1384,241,3462,514,1916,409,729,228
10028,2012,45799,76307,5.3,5.8,40937,687,13,2865,198,367,732,2317,43482,37745,37035,710,8054,4318,3736,3551,2208,492,329,1163,311,43475,34696,8779,1635,2453,371,4053,696,1633,341,640,227
10044,2012,12311,45588,13.9,6.8,6608,2080,59,2625,0,407,532,1856,10455,6744,6514,230,5567,1749,3818,1205,2534,792,128,825,83,11461,5386,6075,2035,1564,370,2479,763,1544,813,488,89
10128,2012,59443,68975,7.4,6.5,48615,2527,33,6156,9,984,1119,5688,53755,46447,44587,1860,12996,6237,6759,4978,4619,305,138,2446,510,56612,40452,16160,4182,4962,1715,6600,1000,3652,1353,946,114
10162,2012,1590,142341,0.6,6.6,1435,0,0,123,0,0,32,280,1310,1184,1140,44,406,138,268,237,124,11,0,21,13,1428,837,591,90,227,0,286,90,78,0,0,0
10001,2012,20579,53528,13.8,8.7,13654,1507,78,3741,0,690,909,3294,17285,15327,14591,736,5252,2412,2840,1205,2442,113,46,1055,391,19893,13119,6774,1867,2407,896,1997,230,2147,741,223,0
10011,2012,51853,77245,8.9,6.8,40428,2072,379,4813,0,1516,2645,6173,45680,41693,40321,1372,10160,5014,5146,3472,3439,187,240,2046,776,49753,36483,13270,2923,5215,1364,4725,492,2757,918,573,149
10018,2012,6147,59661,18.3,6.0,3545,354,68,1588,0,461,131,1451,4696,3799,3664,135,2348,682,1666,469,1062,72,30,696,19,5972,3006,2966,1170,1128,562,804,159,969,424,65,25
10019,2012,40351,64141,12.1,6.7,29130,2774,124,5192,16,1827,1288,6983,33368,28294,27234,1060,12057,5567,6490,3209,4059,234,165,3932,458,38985,25723,13262,4230,5651,2182,4316,733,2827,1236,468,79
10020,2012,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10036,2012,22413,54316,13.8,11.1,14681,1830,90,3673,0,1244,895,3644,18769,15785,15165,620,6628,2495,4133,1484,2895,127,208,1704,210,21877,14736,7141,2202,2611,1055,2116,278,2106,796,308,73
10111,2012,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10105,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10118,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10112,2012,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10122,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10107,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103,2012,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10104,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10110,2012,3,63750,33.3,0.0,1,0,0,0,0,1,1,1,2,3,3,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,0,0,0,0,0,0,0
10121,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10123,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10106,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10096,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10097,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10196,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10119,2012,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010,2012,29396,69792,13.8,8.1,22061,1539,55,3893,0,873,975,2916,26480,23116,22235,881,6280,3153,3127,1974,2960,115,70,842,319,28341,20331,8010,2038,2395,707,2924,551,2287,749,404,31
10016,2012,52624,70699,8.9,5.3,40479,1852,120,7245,0,1953,975,4358,48266,40591,39728,863,12033,5304,6729,4353,4949,244,105,2111,271,50552,36033,14519,3912,4044,941,5593,1080,4014,1798,868,93
10017,2012,16137,76832,7.4,4.3,12133,448,7,3113,0,114,322,1028,15109,11506,11245,261,4631,1829,2802,1509,2236,153,23,519,191,15727,11323,4404,1155,805,267,1857,292,1491,541,251,55
10022,2012,29317,83525,4.1,6.3,25002,687,0,2932,0,236,460,1850,27467,22785,22253,532,6532,3116,3416,2653,2173,523,107,909,167,27937,20391,7546,1337,1684,179,3629,634,1432,377,801,147
10055,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10153,2012,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10154,2012,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10152,2012,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10165,2012,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10168,2012,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10176,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10170,2012,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10174,2012,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10166,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10169,2012,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10167,2012,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10177,2012,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10172,2012,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10171,2012,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10175,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10151,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10173,2012,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10178,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10155,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10047,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10012,2012,24703,54202,11.9,5.5,18713,543,0,3939,0,771,737,1214,23489,18440,18023,417,6263,3143,3120,2386,2621,106,139,670,341,23797,16718,7079,2664,1266,426,2696,688,2753,1500,364,50
10013,2012,26090,49845,14.4,5.5,13714,963,16,10163,19,335,880,1465,24625,16920,16592,328,9170,4749,4421,1242,7011,50,86,486,295,24597,14006,10591,6115,1035,319,1407,133,7945,5663,204,0
10014,2012,30893,75178,6.4,7.2,27323,602,66,1861,0,364,677,1848,29045,25824,25085,739,5069,2420,2649,2568,1239,88,250,690,234,30157,23648,6509,960,1569,241,3606,428,831,278,503,13
10002,2012,80323,28653,27.8,10.7,24852,5724,211,36644,13,10026,2853,19789,60534,45353,40072,5281,34970,20365,14605,2334,27693,153,220,4324,246,77052,26741,50311,31105,15490,6284,2470,820,31364,23931,987,70
10003,2012,56614,57836,12.7,7.0,43932,2217,124,7707,11,994,1629,4216,52398,45345,44045,1300,11269,4987,6282,3964,4737,290,305,1291,682,55286,42343,12943,2590,3099,456,4605,596,4761,1500,478,38
10009,2012,62397,48916,19.9,7.6,37680,4838,211,10099,30,7601,1938,15861,46536,46951,41991,4960,15446,7826,7620,3860,6666,413,428,3900,179,60642,37040,23602,9691,11941,4802,5172,1642,5990,3175,499,72
10004,2012,2780,86705,10.8,9.1,2166,109,0,393,0,15,97,223,2557,2110,2068,42,670,368,302,113,404,0,0,139,14,2587,2018,569,88,121,31,200,8,240,49,8,0
10005,2012,5724,80264,10.3,5.5,4238,29,1,1280,0,45,131,263,5461,4141,4039,102,1583,350,1233,579,676,0,68,96,164,5505,3899,1606,177,268,34,604,43,655,100,79,0
10006,2012,2696,91364,9.6,9.6,1871,106,0,580,0,42,97,156,2540,1906,1857,49,790,260,530,264,334,15,48,104,25,2652,1840,812,259,120,11,161,34,465,214,66,0
10007,2012,6188,104924,2.7,5.7,4463,391,0,882,0,246,206,546,5642,4701,4520,181,1487,422,1065,644,393,71,30,285,64,5728,3944,1784,438,485,250,646,67,598,121,55,0
10038,2012,20042,49190,22.7,6.0,10000,1415,216,6385,0,1650,376,3252,16790,13274,12608,666,6768,3659,3109,1018,4496,126,194,802,132,19175,10363,8812,3938,2595,782,1283,189,4817,2929,117,38
10280,2012,7610,86897,4.8,4.0,5534,92,0,1406,0,242,336,965,6645,5165,5024,141,2445,1020,1425,655,1099,92,67,303,229,7071,4076,2995,497,966,0,940,228,963,213,126,56
10048,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10281,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10282,2012,5507,156471,2.3,1.9,3837,24,14,582,0,797,253,1050,4457,3519,3382,137,1988,487,1501,1042,367,46,124,365,44,4583,2893,1690,591,714,357,736,139,223,78,17,17
10279,2012,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10270,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10271,2012,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10041,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10278,2012,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10043,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10081,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10275,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10265,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10045,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10080,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10259,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10260,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10285,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10286,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11101,2012,24405,34423,19.9,12.2,12286,4137,222,4034,0,3330,396,9421,14984,15059,14462,597,9346,3851,5495,1166,3390,151,16,4475,148,23002,9863,13139,5476,7558,3361,3078,1089,2233,965,270,61
11102,2012,33742,31237,16.9,9.6,19869,2989,477,5114,34,4322,937,10426,23316,18243,17360,883,15499,7680,7819,4211,4177,630,10,6399,72,31997,12334,19663,8488,8812,4447,7558,2539,2429,1182,864,320
11103,2012,36724,36882,13.4,9.1,28036,942,142,4571,32,2096,905,9383,27341,20359,19434,925,16365,9204,7161,6184,3524,719,72,5814,52,35140,13895,21245,10198,8001,3962,9686,4530,2260,1092,1298,614
11104,2012,26321,32208,11.6,6.6,16209,300,58,7598,0,1349,807,7618,18703,11750,11149,601,14571,6970,7601,2482,6879,316,12,4814,68,24828,7941,16887,9461,6705,3513,4401,2543,4958,2971,823,434
11105,2012,37438,40519,13.6,8.2,29543,743,103,3471,0,2831,747,8803,28635,22868,21903,965,14570,8241,6329,5805,3196,468,0,4849,252,35747,14853,20894,8260,7100,3195,10982,3881,1934,866,878,318
11106,2012,36958,34214,21.5,10.1,22554,3130,72,5560,9,4618,1015,11269,25689,21274,19933,1341,15684,7938,7746,3690,4489,632,110,6603,160,35584,13939,21645,9843,9884,4656,7308,3094,3118,1583,1335,510
11109,2012,3272,77969,6.5,5.6,2454,127,0,497,0,61,133,305,2967,2060,2031,29,1212,344,868,518,373,16,25,180,100,2988,1923,1065,135,171,23,462,60,314,52,118,0
11368,2012,104486,20981,22.6,6.9,47230,12372,1005,12354,269,28849,2407,75816,28670,37539,35739,1800,66947,20482,46465,1582,10051,1772,13,53494,35,95808,13500,82308,52619,66216,43566,7338,3192,7630,5612,1124,249
11369,2012,40160,26745,16.8,9.3,10532,7039,115,4673,46,16194,1561,25864,14296,17701,16950,751,22459,9897,12562,547,3181,202,0,18529,0,37264,8901,28363,14627,23067,12593,3616,1340,1611,691,69,3
11370,2012,37755,25752,17.2,13.4,13460,6311,258,7559,0,8859,1308,13789,23966,19911,18709,1202,17844,8899,8945,2173,6383,1139,15,8126,8,36229,11571,24658,12247,12636,7432,8017,3224,2602,1365,1403,226
11372,2012,62857,27033,19.1,9.2,36348,1512,100,13502,26,9434,1935,35280,27577,23593,21994,1599,39264,17106,22158,3315,10997,307,0,24507,138,59389,10124,49265,28922,32278,19715,10783,5444,5715,3543,489,220
11373,2012,97430,25696,20.5,6.5,38684,1549,183,47933,0,7462,1619,40261,57169,28554,27068,1486,68876,28669,40207,1954,37964,592,83,28163,120,91757,9381,82376,54390,36543,24274,12672,7971,32480,21741,681,404
11377,2012,87284,30280,13.6,7.9,40806,2904,271,30771,133,10200,2199,32957,54327,37701,35325,2376,49583,22401,27182,4746,24844,541,82,19349,21,82568,19441,63127,33015,29081,15279,16294,7777,16508,9342,1244,617
11378,2012,32187,39523,10.0,8.6,26084,456,86,2830,11,2376,344,7895,24292,20165,19312,853,12022,7182,4840,5653,2053,199,0,4070,47,30107,14268,15839,7752,6244,2819,7182,3498,1987,1256,426,179
11354,2012,55543,29954,17.2,9.7,15030,2229,312,32023,0,4109,1840,9470,46073,22043,21079,964,33500,15850,17650,1964,26157,234,0,5095,50,52877,11231,41646,26313,8466,3533,5077,2004,27779,20675,324,101
11355,2012,83938,25561,19.2,9.4,14519,2505,831,59067,24,4600,2392,12244,71694,23971,22808,1163,59967,28434,31533,2186,49005,286,1,8397,92,80058,11798,68260,44769,10425,5432,10519,4336,46876,34880,440,121
11356,2012,22947,33007,8.7,9.4,10873,479,100,6105,0,5009,381,8167,14780,12992,12566,426,9955,5166,4789,1184,4647,50,0,4074,0,21456,7651,13805,6745,6619,2806,1843,771,5258,3107,85,61
11357,2012,40705,44742,4.6,11.2,31810,187,29,6918,0,1069,692,5096,35609,28550,27969,581,12155,9069,3086,4952,5029,218,0,1912,32,38136,19767,18369,7740,3255,1149,9317,3232,5526,3237,271,122
11358,2012,39143,39039,9.5,9.1,19075,685,14,15853,40,2466,1010,5811,33332,19949,19376,573,19194,10413,8781,3343,12384,64,22,3264,117,36952,12651,24301,11925,4686,1638,6382,2103,13101,8120,132,64
11359,2012,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11360,2012,20688,48339,5.0,8.4,13105,312,7,5917,0,833,514,2108,18580,13759,13492,267,6929,4890,2039,1701,4343,46,4,778,57,19646,10452,9194,4210,1176,413,2838,893,4965,2890,215,14
11361,2012,29197,43741,8.0,9.2,16308,1078,183,9003,6,1705,914,4134,25063,17753,17357,396,11444,6969,4475,1805,7171,130,19,2250,69,27529,12492,15037,7175,3163,1026,3739,1140,7955,4987,180,22
11362,2012,18220,43184,7.4,6.4,10113,710,19,6802,8,258,310,2004,16216,11077,10833,244,7143,4937,2206,964,4738,308,0,1030,103,17218,7701,9517,4558,1422,569,2458,755,5496,3128,141,106
11363,2012,7442,51218,2.5,7.7,4357,75,0,2632,0,363,15,814,6628,4746,4665,81,2696,1591,1105,231,1914,27,0,496,28,7167,3357,3810,1757,667,371,999,195,2093,1191,51,0
11364,2012,35106,42631,9.2,7.1,16195,612,28,16430,58,927,856,2968,32138,19195,18720,475,15911,11728,4183,2072,11892,204,1,1730,12,33083,12611,20472,9465,2183,658,4097,1086,13770,7611,422,110
11374,2012,42484,44160,12.1,9.6,27273,1175,53,11504,0,1377,1102,6866,35618,19165,18409,756,23319,15263,8056,6942,12487,272,0,3576,42,39949,11458,28491,13056,5694,1947,14561,6966,6818,3591,1418,552
11375,2012,69745,54700,7.6,6.6,44959,1970,139,17469,18,3440,1750,8237,61508,37593,35838,1755,32152,23043,9109,9911,16940,473,35,4433,360,65873,28765,37108,15103,6175,1921,16821,7185,11473,5220,2639,777
11379,2012,35680,42810,7.8,6.4,30881,491,20,2591,0,1285,412,6401,29279,24285,23577,708,11395,7649,3746,6045,2462,293,4,2566,25,34215,20025,14190,6246,4525,1557,7010,3102,2126,1265,529,322
11385,2012,99508,31968,17.6,7.7,81254,2044,308,6411,9,7247,2235,46331,53177,59736,55836,3900,39772,16660,23112,17014,5271,1313,21,16096,57,92416,38586,53830,24362,31897,12859,17336,8830,3597,2056,1000,617
11365,2012,41520,34336,13.1,10.2,15058,2672,51,18583,50,3658,1448,7532,33988,20967,20043,924,20553,11762,8791,1983,14553,179,11,3642,185,38792,13405,25387,11447,5475,1281,6146,1926,13221,8125,545,115
11366,2012,13593,37415,9.9,11.5,7239,841,18,4853,0,198,444,1329,12264,7411,7180,231,6182,4476,1706,977,4473,100,0,619,13,12906,5225,7681,3346,1040,233,2603,905,3664,2080,374,128
11367,2012,39424,37309,16.6,10.5,22448,4127,178,8998,0,2707,966,5951,33473,24703,23676,1027,14721,10209,4512,2485,8885,447,2,2808,94,36007,16390,19617,7737,4618,1539,6547,2500,5409,3160,3043,538
11414,2012,28769,41903,8.9,8.3,24781,935,52,572,0,1338,1091,6010,22759,23884,22543,1341,4885,3443,1442,2217,711,114,0,1826,17,27392,19797,7595,2701,3505,1288,3766,1359,248,54,76,0
11415,2012,19464,43457,11.2,8.5,11899,1683,20,2959,20,2454,429,5479,13985,11479,10648,831,7985,5196,2789,1565,3092,175,10,3088,55,18276,7675,10601,4085,4553,1518,4437,1893,893,457,718,217
11416,2012,24977,29196,14.7,14.1,6817,1846,27,8957,17,5887,1426,10284,14693,12505,11568,937,12472,6819,5653,443,4593,84,0,7274,78,23279,9364,13915,5615,7876,3175,4036,1609,1844,754,159,77
11417,2012,30325,31617,14.0,10.5,12217,2342,120,8215,0,5684,1747,11490,18835,16855,16070,785,13470,7394,6076,913,3054,181,0,9320,2,28187,14530,13657,5238,8376,3093,3894,1581,1261,517,126,47
11418,2012,36821,31245,12.4,11.2,14686,3313,324,8079,0,8575,1844,16425,20396,17021,15481,1540,19800,10989,8811,1417,4636,287,27,13384,49,34567,13278,21289,9538,13747,6724,5522,2029,1521,746,499,39
11419,2012,48119,25667,15.6,9.8,6101,8326,465,15301,47,14234,3645,8533,39586,16519,15248,1271,31600,17390,14210,519,7079,211,0,23791,0,45801,29369,16432,7521,7211,3499,7869,3337,1169,601,183,84
11420,2012,48226,30256,12.0,9.8,8522,13381,510,9493,98,13562,2660,11939,36287,22480,21059,1421,25746,16244,9502,416,2737,183,2,22337,71,45203,30097,15106,5420,10084,3621,3306,1162,1284,573,432,64
11421,2012,41872,30060,14.6,12.5,15883,3048,184,7693,23,12956,2085,23302,18570,23250,21281,1969,18622,10210,8412,1804,4799,222,0,11763,34,38688,12750,25938,10814,18222,6944,3393,1380,3788,2251,535,239
11412,2012,36660,33891,8.4,14.7,803,32954,141,784,119,1095,764,1926,34734,23526,23099,427,13134,8006,5128,78,444,544,0,12039,29,34790,29737,5053,1815,1482,521,2647,965,478,246,446,83
11423,2012,31425,30795,12.0,11.3,5424,12755,282,6778,102,4042,2042,5690,25735,15097,14405,692,16328,10327,6001,827,2590,919,0,11960,32,29729,18711,11018,4570,4070,2148,4140,1566,1799,675,1009,181
11432,2012,58705,27115,19.4,12.6,11900,9981,433,22253,0,10981,3157,15074,43631,25761,24661,1100,32944,18300,14644,1506,15074,591,23,15640,110,55003,20248,34755,17074,13051,7402,15510,7463,5228,1939,966,270
11433,2012,30851,30363,23.8,15.2,1106,22801,263,1909,24,4112,636,4778,26073,20558,19910,648,10293,5756,4537,41,1123,439,0,8662,28,28589,22445,6144,3322,3446,1827,2081,1146,355,266,262,83
11434,2012,61853,33752,12.7,13.2,1714,54359,103,1019,23,3662,973,5701,56152,42683,41759,924,19170,11565,7605,158,540,1318,0,17043,111,58119,48939,9180,3485,4169,1709,3565,1238,451,173,995,365
11435,2012,52288,31471,16.2,13.4,11061,12945,152,11751,0,13349,3030,16771,35517,25605,24300,1305,26683,14200,12483,1909,7300,770,12,16649,43,48765,23027,25738,13231,13842,7574,8260,4254,2536,956,1100,447
11436,2012,17316,31552,14.0,11.5,442,13311,79,1159,0,1802,523,1469,15847,10975,10784,191,6341,3356,2985,94,628,538,0,5074,7,16142,13285,2857,1073,1199,370,839,515,379,81,440,107
11451,2012,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11004,2012,14178,46571,6.6,7.2,6902,672,87,5225,0,444,848,1641,12537,8986,8887,99,5192,3559,1633,461,3904,26,0,791,10,13368,6952,6416,2435,845,258,3105,1280,2092,841,374,56
11005,2012,1963,36034,2.2,7.5,1945,18,0,0,0,0,0,61,1902,1797,1746,51,166,159,7,101,19,0,0,36,10,1963,1804,159,30,33,11,117,10,9,9,0,0
11411,2012,19357,41093,5.9,7.0,717,17762,125,376,0,130,247,1070,18287,11890,11523,367,7467,5388,2079,190,270,358,0,6568,81,18489,14670,3819,1409,836,228,2461,985,314,183,208,13
11413,2012,39291,38303,7.3,8.8,1343,36397,44,234,35,340,898,1792,37499,24873,24389,484,14418,9581,4837,205,280,817,0,13080,36,37415,31155,6260,1680,1397,223,3691,1145,284,158,888,154
11422,2012,33116,39007,6.8,7.7,2250,28780,35,1153,0,346,552,1890,31226,18927,18515,412,14189,9772,4417,151,753,1208,0,12058,19,30766,22476,8290,1748,1629,272,4776,1203,598,122,1287,151
11426,2012,18847,42297,5.6,8.5,8898,566,144,7335,0,1216,688,2943,15904,11890,11472,418,6957,4643,2314,377,5047,51,0,1482,0,17682,9003,8679,3599,2106,781,4527,2040,1997,778,49,0
11427,2012,24601,37515,10.0,7.2,7420,6058,65,8471,0,1900,687,3868,20733,12997,12606,391,11604,7767,3837,424,4985,132,0,6041,22,23153,11561,11592,4256,3002,1138,5794,2088,2367,1004,429,26
11428,2012,19784,32341,7.6,9.8,4742,4592,64,6007,75,2693,1611,5585,14199,7975,7607,368,11809,7640,4169,283,2940,90,0,8480,16,18872,8597,10275,4063,4807,2143,3637,1319,1631,534,200,67
11429,2012,28571,31015,13.2,14.3,1911,23345,32,989,0,658,1636,3285,25286,15709,15223,486,12862,8312,4550,188,354,451,18,11844,7,27102,17891,9211,3067,2234,563,6150,2272,314,173,513,59
11040,2012,40005,50000,3.6,6.3,24833,607,49,11841,0,1561,1114,3745,36260,27325,26803,522,12680,9440,3240,2822,7499,215,7,2033,104,38151,21734,16417,5838,2646,772,7157,2305,6341,2710,273,51
11001,2012,27104,46613,2.4,7.0,19977,1950,28,3468,34,931,716,2557,24547,21822,21577,245,5282,3845,1437,1199,2475,32,14,1550,12,25594,19291,6303,2384,1624,514,3312,1180,1291,653,76,37
11691,2012,61442,29651,27.3,12.1,22348,30704,148,1334,0,5163,1745,16465,44977,41417,39403,2014,20025,10252,9773,2261,1342,929,27,15409,57,55356,36536,18820,10566,12201,7274,3952,2380,617,379,2050,533
11692,2012,16870,31493,25.5,14.0,3231,11709,153,206,0,1116,455,3411,13459,12677,12157,520,4193,2788,1405,425,247,795,0,2726,0,15610,11836,3774,1612,2405,1068,717,343,88,31,564,170
11693,2012,11415,40151,19.5,13.1,6035,4002,0,453,0,752,173,2598,8817,9370,9119,251,2045,1569,476,450,326,144,0,1124,1,10736,7857,2879,1089,1803,692,587,221,352,158,137,18
11694,2012,21281,47534,6.7,7.7,18110,1858,8,399,0,611,295,3007,18274,17992,17727,265,3289,1927,1362,1478,451,139,20,1187,14,20274,16234,4040,1668,1740,694,1695,812,354,88,251,74
11697,2012,4344,53333,1.0,5.3,4304,4,0,0,0,0,36,32,4312,4299,4292,7,45,45,0,44,0,0,0,1,0,4119,4042,77,1,10,1,67,0,0,0,0,0
