Neighborhood,Year,Population,Economy: Median worker earnings,Economy: Percent below poverty level,Economy: Unemployment rate,Race: White,Race: Black or African American,Race: American Indian and Alaska Native,Race: Asian,Race: Native Hawaiian and Other Pacific Islander,Race: Other,Race: Two or more,Ethnicity: Hispanic or Latino,Ethnicity: Not Hispanic or Latino,Immigration: Native-born,Immigration: Native-born – in the US,"Immigration: Native-born – in Puerto Rico, US islands, or abroad to US parents",Immigration: Foreign-born,Immigration: Foreign-born – Naturalized citizen,Immigration: Foreign-born: Not US citizen,Immigration: Foreign-born – Europe,Immigration: Foreign-born – Asia,Immigration: Foreign-born – Africa,Immigration: Foreign-born – Oceania,Immigration: Foreign-born – Latin America,Immigration: Foreign-born – North America,Language: Population 5+ years,Language: English only,Language: Not English,Language: Not English – Speaks English 'less than well',Language: Spanish,Language: Spanish – Speaks English 'less than well',Language: Other Indo-European,Language: Other Indo-European – Speaks English 'less than well',Language: Asian and Pacific Islander,Language: Asian and Pacific Islander – Speaks English 'less than well',Language: Other,Language: Other – Speaks English 'less than well'
Fresh Meadows,2021,101723.0,42303.479675196366,11.494684584607217,6.336447017881895,40625,8732,205,37926,15,7688,6532,18081,83642,57377,54883,2494,44346,29916,14430,4359,30021,1007,0,8830,129,93980,37430,56550,28268,11655,4904,13331,4854,28212,17904,3352,606
South Beach - Tottenville,2011,190111.0,48520.418518654886,5.587267438496458,6.105860260584606,174605,3301,156,7855,0,2565,1629,19966,170145,161436,159110,2326,28675,21706,6969,16798,6390,1586,16,3781,104,179854,140742,39112,13831,8319,2548,23420,8497,4908,2121,2465,665
South Beach - Tottenville,2012,191971.0,49091.4009668127,5.605861822879497,6.808411687181919,176028,3339,172,8321,0,2169,1942,19652,172319,162954,160635,2319,29017,22224,6793,16228,7062,1530,28,4065,104,181801,142109,39692,14223,8702,2658,23003,8351,5551,2672,2436,542
South Beach - Tottenville,2013,192397.0,49127.94656361586,6.253757075214271,7.170710042256376,176382,3059,105,8706,0,2328,1817,20670,171727,162804,160581,2223,29593,22806,6787,16359,7116,1696,46,4270,106,182518,142188,40330,13602,8925,2635,23339,7812,5843,2710,2223,445
South Beach - Tottenville,2014,194186.0,49587.542340848464,7.417049117856076,7.200209077894391,178023,3105,181,9187,14,1575,2101,20602,173584,163365,160972,2393,30821,23587,7234,16767,7431,2316,52,4156,99,184149,142150,41999,13933,9084,2396,23712,7761,5982,3076,3221,700
South Beach - Tottenville,2015,195020.0,48920.14279048302,7.567842272587427,6.485537893549379,178030,2635,188,9960,70,2199,1938,21113,173907,163174,160624,2550,31846,23896,7950,17896,7770,1773,60,4227,120,185162,142621,42541,14263,9106,2262,24532,8088,6250,3327,2653,586
South Beach - Tottenville,2016,195063.0,48958.18442759519,7.757312765619313,5.889865838216371,177245,2516,246,9774,55,2987,2240,20771,174292,162749,160351,2398,32314,24411,7903,18067,8254,1713,54,4105,121,185008,141581,43427,14087,8981,2181,25471,8016,6166,3256,2809,634
South Beach - Tottenville,2017,194291.0,50505.339495910775,7.658848840141848,5.228489739617378,176083,3042,256,10077,61,2673,2099,21317,172974,161533,159094,2439,32758,24348,8410,18195,7986,1765,29,4661,122,183968,141456,42512,14656,8983,2149,24812,8374,6422,3503,2295,630
South Beach - Tottenville,2018,193832.0,51949.88312043419,7.85294533410376,4.594126356845103,174669,3256,290,9649,83,3232,2653,21443,172389,160183,157450,2733,33649,25084,8565,18396,7931,2571,23,4619,109,183782,141152,42630,14678,8936,1894,24493,8268,5915,3765,3286,751
South Beach - Tottenville,2019,193745.0,53458.41389971353,6.619912771942501,4.178425249683863,173962,3061,280,10521,57,2923,2941,22718,171027,159860,157213,2647,33885,25347,8538,17993,9031,2191,22,4557,91,183477,139331,44146,15191,9531,2074,24355,8246,7038,4248,3222,623
South Beach - Tottenville,2020,193282.0,53911.94256578471,6.818500429424365,4.388179447646444,168892,3144,375,11930,45,2917,5979,23817,169465,158322,155981,2341,34960,26028,8932,18357,10240,2233,27,4043,60,182687,136400,46287,16885,9165,1843,25245,9120,8404,5085,3473,837
South Beach - Tottenville,2021,200753.0,57358.589640005375,6.658360273570009,4.869328478279279,170792,3665,355,12997,112,3760,9072,24753,176000,164225,161811,2414,36528,26633,9895,18624,11204,2426,0,4154,120,189767,142118,47649,18590,8751,2011,25860,9806,9282,5869,3756,904
Rockaway,2011,121469.0,34022.09528357029,20.197610913072474,10.347240859807853,56765,51415,168,2240,0,8288,2593,28423,93046,88615,85926,2689,32854,17634,15220,5479,2363,2052,46,22859,55,112145,80423,31722,17135,20335,11524,7900,4593,960,444,2527,574
Rockaway,2012,123443.0,34707.81696815534,21.010354576606208,11.532949620472605,56645,50743,309,2601,0,9911,3234,29220,94223,90990,87854,3136,32453,18048,14405,4927,2499,2007,47,22901,72,113769,80658,33111,16644,21123,11237,7488,3932,1488,670,3012,805
Rockaway,2013,124324.0,34724.61523921367,20.824187606576366,11.947775972459057,58722,48081,230,3454,0,10508,3329,29649,94675,91013,87892,3121,33311,18192,15119,4984,2611,2364,54,23205,93,114022,79253,34769,16430,21750,10923,7990,3923,1808,794,3221,790
Rockaway,2014,125354.0,35168.57020119023,19.998190723870003,11.069186463934138,59749,47496,231,4027,67,10574,3210,30282,95072,91436,87654,3782,33918,18620,15298,5022,2694,2048,39,23999,116,114894,78332,36562,17150,22169,11363,8662,3931,2067,993,3664,863
Rockaway,2015,127248.0,35326.80175719854,18.902279014208478,10.300223186219036,60019,47833,221,4833,62,11171,3109,32403,94845,92196,88110,4086,35052,19662,15390,5097,3232,2391,18,24168,146,116216,77553,38663,17187,23586,11212,8844,4009,2136,990,4097,976
Rockaway,2016,129218.0,35769.79149189741,19.39083873763717,9.556545527712856,60665,48098,441,4856,57,11945,3156,32038,97180,95161,90929,4232,34057,20493,13564,5361,3084,1916,26,23509,161,117970,80265,37705,16310,23479,10765,8575,3690,2198,1121,3453,734
Rockaway,2017,131621.0,36739.66673251228,19.310827299595047,9.184375593560299,63839,48640,349,4483,62,11524,2724,33894,97727,96731,92442,4289,34890,20879,14011,5169,3279,2000,4,24225,213,120023,81980,38043,16320,24564,11131,8609,3859,1684,903,3186,427
Rockaway,2018,134209.0,37991.38199375601,18.66643518690997,8.74819646968534,63129,50223,500,4962,90,12249,3056,34157,100052,97830,93321,4509,36379,22671,13708,5291,4136,2764,5,23951,232,122656,83209,39447,16496,24458,10924,9138,4039,1947,978,3904,555
Rockaway,2019,136799.0,37818.643944765674,17.935629646415542,8.124123714354637,62760,51309,579,5047,38,13566,3500,34798,102001,99232,94847,4385,37567,23364,14203,5385,4534,3119,5,24253,271,124994,84010,40984,16851,25224,10998,9582,4276,2050,1097,4128,480
Rockaway,2020,136817.0,37955.18868269294,17.032256956372382,7.54949750396515,59739,50037,574,5939,20,13250,7258,33556,103261,98018,94518,3500,38799,24866,13933,4984,5104,3204,5,25243,259,126057,85701,40356,16445,23931,10911,9935,4052,2270,1187,4220,295
Rockaway,2021,144881.0,40556.270794652155,17.757959290728255,8.978376736770176,62263,51271,305,5756,38,14080,11168,36180,108701,103421,99680,3741,41460,25996,15464,5052,5272,3838,17,26971,310,133240,90852,42388,18067,25332,11814,9686,4236,2481,1260,4889,757
Central Harlem - Morningside Heights,2011,166792.0,30802.51658952468,28.42173305674133,12.080013429900713,33666,98004,501,7923,120,18725,7853,37095,129697,127735,122969,4766,39057,15405,23652,3844,6213,6910,121,21301,668,156758,106057,50701,20597,30211,13108,10421,3265,4549,1692,5520,2532
Central Harlem - Morningside Heights,2012,169650.0,31915.62704391394,27.81504980842912,11.63609549071618,34247,99071,456,8672,224,18565,8415,38292,131358,130936,126399,4537,38714,16078,22636,3503,6395,6444,219,21440,713,159715,107811,51904,20220,31404,13235,10799,3175,5039,1925,4662,1885
Central Harlem - Morningside Heights,2013,172914.0,31882.615947812206,28.49126097366321,11.667548029656361,36162,99609,541,9028,52,19527,7995,39326,133588,132087,127395,4692,40827,18099,22728,3910,6802,7581,225,21525,784,162065,107915,54150,19781,31489,12404,12694,3547,4982,1862,4985,1968
Central Harlem - Morningside Heights,2014,174952.0,32822.73402418949,29.751983972746814,12.073861973569892,36555,99322,567,9256,50,21441,7761,41556,133396,132626,127923,4703,42326,18648,23678,4436,7364,7657,225,22013,631,163871,107763,56108,20464,32537,12589,12877,3638,5603,2264,5091,1973
Central Harlem - Morningside Heights,2015,177406.0,32900.17709660327,30.06527400426141,11.285175811415622,38213,99887,648,9582,135,20734,8207,42321,135085,134300,129411,4889,43106,18603,24503,4506,7929,8656,174,21238,603,165469,107581,57888,20491,32317,11961,13333,3880,6347,2299,5891,2351
Central Harlem - Morningside Heights,2016,180601.0,34198.41163116483,29.96271670699498,10.47465241056251,39509,100552,779,9872,136,22076,7677,44862,135739,136747,131601,5146,43854,19861,23993,4298,7855,8557,197,22306,641,168291,108955,59336,20618,34030,12517,13031,3675,6414,2494,5861,1932
Central Harlem - Morningside Heights,2017,184020.0,35707.62132920334,28.50059015324421,9.565414085425498,42004,100327,811,10000,134,22710,8034,45433,138587,140018,134331,5687,44002,20330,23672,4337,8250,8831,134,21844,606,171714,111375,60339,20210,34007,12067,12646,3428,6918,2633,6768,2082
Central Harlem - Morningside Heights,2018,182658.0,38168.3343406804,27.168100493819054,9.023415344523645,41070,97713,531,10068,194,24102,8980,46366,136292,138247,132638,5609,44411,20941,23470,4312,7909,8553,280,22732,625,170417,108771,61646,20236,35164,12429,12297,3166,6685,2616,7500,2025
Central Harlem - Morningside Heights,2019,182949.0,38789.89693302505,25.245753188046944,8.52491459368458,42683,95579,691,10293,158,24134,9411,47047,135902,138956,133278,5678,43993,21172,22821,4229,7904,8353,311,22573,623,170761,108223,62538,20453,35804,12745,11916,2777,6477,2596,8341,2335
Central Harlem - Morningside Heights,2020,180928.0,41390.12587880262,23.972754908029714,8.476407742306332,41147,93495,693,10362,17,23442,11772,45923,135005,138040,133196,4844,42888,21379,21509,4039,7661,8304,290,21802,792,169566,107936,61630,18604,34812,11376,12294,2180,6269,2495,8255,2553
Central Harlem - Morningside Heights,2021,183460.0,42097.3507685599,23.897473563719608,9.592433773029542,41534,91795,710,10497,3,24457,14464,46443,137017,139706,134730,4976,43754,22063,21691,4160,7952,8762,295,21799,786,172164,110022,62142,18818,35116,11528,12791,2343,5836,2379,8399,2568
Ridgewood - Forest Hills,2011,245978.0,41131.797148525475,11.713010106594899,7.415074112318988,178986,5602,795,38540,167,16969,4919,66183,179795,138950,131527,7423,107028,62674,44354,39694,37787,2395,73,26495,584,231666,96806,134860,58360,49155,17772,55663,25739,24529,12667,5513,2182
Ridgewood - Forest Hills,2012,247417.0,42032.99483867317,12.423411487488735,7.528694471277236,184367,5680,520,37975,27,13349,5499,67835,179582,140779,133660,7119,106638,62615,44023,39912,37160,2351,60,26671,484,232453,98834,133619,58767,48291,18284,55728,26083,24014,12132,5586,2268
Ridgewood - Forest Hills,2013,247255.0,42400.790248933285,12.894195466219086,8.032737861721705,185090,5739,563,37763,106,12918,5076,67550,179705,140676,133563,7113,106579,63787,42792,39231,37547,2580,47,26644,530,232470,98900,133570,57741,47304,17909,55172,24905,25028,12581,6066,2346
Ridgewood - Forest Hills,2014,247301.0,42955.08919494867,13.050807720146704,7.565930586613074,183240,5716,592,38717,125,13692,5219,67720,179581,139474,133155,6319,107827,65868,41959,39861,37377,2610,99,27187,693,231958,99394,132564,57259,46353,17631,55328,25060,25072,12617,5811,1951
Ridgewood - Forest Hills,2015,251807.0,43748.671601663176,12.685333211546938,6.957209291242897,184909,6567,554,40212,110,13164,6291,68612,183195,140947,135024,5923,110860,68703,42157,39591,38910,2835,130,28702,692,235782,103405,132377,57393,45982,17601,55925,24925,24661,12689,5809,2178
Ridgewood - Forest Hills,2016,253771.0,44469.46742929649,12.34995763897372,6.062905532941116,185293,6483,589,41640,118,13115,6533,69807,183964,142023,135806,6217,111748,69126,42622,38430,39856,3069,130,29617,646,238150,103303,134847,56942,47385,17899,55282,23898,26491,13273,5689,1872
Ridgewood - Forest Hills,2017,260599.0,45673.609004639315,11.177160695167672,5.439665923506997,186313,6271,645,45396,108,14152,7714,73270,187329,144909,137961,6948,115690,71958,43732,38597,42170,3021,157,31070,675,244888,102426,142462,59770,50601,19387,57134,23853,29042,14662,5685,1868
Ridgewood - Forest Hills,2018,260709.0,48283.18608103288,10.600559627784236,4.638948022507853,183846,6671,585,45594,0,14999,9014,73384,187325,145237,138157,7080,115472,71477,43995,38505,41820,3183,180,31240,544,244323,101657,142666,59981,50968,19361,57239,23644,29265,15006,5194,1970
Ridgewood - Forest Hills,2019,262328.0,49993.06481580311,10.09378030557165,4.204673157268763,183908,7060,492,45990,0,15090,9788,74689,187639,148653,140930,7723,113675,69524,44151,37335,41650,3150,247,30767,526,245639,102044,143595,59658,52134,19571,57242,23133,29279,14960,4940,1994
Ridgewood - Forest Hills,2020,258593.0,51337.69589277358,9.167077995150681,4.603873654739301,169911,7475,585,45520,9,18231,16862,75986,182607,147269,140076,7193,111324,68760,42564,35910,39962,2669,174,31971,638,243386,100762,142624,59373,52689,20539,55899,22436,28838,14482,5198,1916
Ridgewood - Forest Hills,2021,272026.0,53433.131906508934,9.135789961253703,5.619494827700294,166906,8751,666,48465,34,23259,23945,79435,192591,154628,147646,6982,117398,71981,45417,36510,42063,3223,207,34656,739,256230,105922,150308,63812,56726,22683,57024,23192,30758,15767,5800,2170
Stapleton - St. George,2011,120386.0,35991.50461017062,17.5494152143937,7.595607462661771,75773,21869,289,12269,0,7255,2931,25846,94540,87049,83465,3584,33337,17759,15578,10091,9845,3401,18,9729,253,112501,69635,42866,18036,16855,6418,16110,6140,7255,4529,2646,949
Stapleton - St. George,2012,122005.0,36813.400950780706,17.10961108151305,8.020891766730871,75858,23608,290,11821,26,7223,3179,26222,95783,88755,84934,3821,33250,18605,14645,10496,9649,3414,0,9490,201,114074,70321,43753,18348,16968,6475,16998,6611,7154,4203,2633,1059
Stapleton - St. George,2013,123975.0,38036.52382335148,17.103223230490016,8.419556362169793,76528,23701,814,11926,28,7676,3302,27631,96344,89298,85593,3705,34677,18904,15773,11188,9454,3649,8,10199,179,115790,70715,45075,18723,17590,7132,18301,7156,6639,3474,2545,961
Stapleton - St. George,2014,122702.0,38588.113396684654,17.385106192238105,8.134759009633093,75974,23173,542,11588,34,7456,3935,28321,94381,88056,84368,3688,34646,19440,15206,11421,9298,3662,9,10072,184,114523,70061,44462,18918,17444,7410,17801,7132,6720,3454,2497,922
Stapleton - St. George,2015,123248.0,38818.83801765546,17.787624951317667,7.579658899130209,75681,24088,745,11183,68,7311,4172,28147,95101,88399,84895,3504,34849,21033,13816,11510,9274,3841,7,10076,141,114947,70628,44319,18706,16908,7000,17701,7211,6942,3534,2768,961
Stapleton - St. George,2016,123106.0,39037.82669406853,19.069062433999967,6.702425551963349,75022,24438,676,10959,38,7788,4185,28053,95053,88129,84919,3210,34977,21388,13589,11395,8844,3964,12,10607,155,115320,71061,44259,18268,17136,7098,17339,6677,6728,3516,3056,977
Stapleton - St. George,2017,123646.0,39838.0404784627,18.736171813079274,6.080694887016159,75572,24120,720,11448,14,7473,4299,28001,95645,88327,85242,3085,35319,21618,13701,11436,9229,4172,12,10287,183,115994,71808,44186,17912,16780,6431,16777,6460,7201,4036,3428,985
Stapleton - St. George,2018,122095.0,41581.501535689415,18.996512551701542,5.986469552397722,74857,23715,327,11829,37,6907,4423,26874,95221,86860,83500,3360,35235,22413,12822,10912,10252,4649,25,9289,108,114467,70390,44077,16626,15921,5379,16423,6299,7562,4016,4171,932
Stapleton - St. George,2019,122118.0,43551.91175748047,17.437110008352576,5.528153097823417,74470,24100,297,13334,67,6521,3329,25933,96185,85763,82411,3352,36355,23614,12741,10790,11643,4451,25,9214,232,114936,69726,45210,17258,15235,4698,15963,6263,9149,5341,4863,956
Stapleton - St. George,2020,123102.0,43372.350254260695,15.02919773846079,5.8792001754642484,73217,23120,126,14476,50,6482,5631,25154,97948,86599,83283,3316,36503,24010,12493,11033,12284,4623,53,8242,268,116091,69378,46713,18093,14488,4559,16664,6448,9944,5976,5617,1110
Stapleton - St. George,2021,127116.0,44851.66016079801,13.057183989426983,6.179181220302716,74253,22825,325,16472,59,6340,6842,26522,100594,88401,84972,3429,38715,26228,12487,11616,14673,3827,93,8251,255,120264,70242,50022,20173,15161,4686,18008,7111,11595,7463,5258,913
High Bridge - Morrisania,2011,204821.0,19963.140874226763,37.777314826116466,15.237972668818141,27702,83746,1795,2792,50,83425,5311,124922,79899,131132,113440,17692,73689,26747,46942,605,2560,11523,29,58962,10,189111,63867,125244,63366,106802,54485,7584,3601,1450,777,9408,4503
High Bridge - Morrisania,2012,208247.0,20174.908829418913,38.297644143733166,16.802983956551596,29349,84682,1672,2169,35,84995,5345,127732,80515,133958,116202,17756,74289,27693,46596,590,1918,12567,30,59171,13,191817,65071,126746,62902,108149,54837,6204,2704,1299,709,11094,4652
High Bridge - Morrisania,2013,209723.0,20172.364671495256,38.56812605198286,17.638569446364965,28628,81965,1546,2859,74,88377,6274,129978,79745,133789,117217,16572,75934,29606,46328,526,2461,12476,5,60452,14,192299,64235,128064,62801,108797,54708,6502,2831,1153,596,11612,4666
High Bridge - Morrisania,2014,214807.0,20425.703031093028,39.75204485887332,16.673760631636775,28053,83355,1620,2482,106,92282,6909,133050,81757,137727,122330,15397,77080,30435,46645,446,2133,12415,3,62034,49,196670,64672,131998,63660,112076,55959,6427,2636,1000,577,12495,4488
High Bridge - Morrisania,2015,215615.0,20899.68984532616,40.1938343807249,15.328850497414372,23351,82034,1476,2602,110,99252,6790,133480,82135,137302,123250,14052,78313,32367,45946,423,2337,12650,34,62791,78,197429,64577,132852,63221,112474,55381,6582,2848,952,380,12844,4612
High Bridge - Morrisania,2016,216289.0,21979.790405429776,39.28567148583608,12.846547905811207,21463,80285,1216,2849,99,102791,7586,135041,81248,136436,122914,13522,79853,34481,45372,426,2446,12824,29,64037,91,198979,66223,132756,62753,112678,55333,5812,2527,1028,399,13238,4494
High Bridge - Morrisania,2017,220890.0,22157.27860926253,38.71625967676219,11.847946489202771,23823,83445,1531,3172,194,101102,7623,139095,81795,137633,124383,13250,83257,37283,45974,475,2808,13131,27,66718,98,203563,65854,137709,66135,116332,57771,6578,2981,1152,500,13647,4883
High Bridge - Morrisania,2018,218094.0,23454.537529689034,37.47543352866196,11.223443102515429,25710,84697,1703,2473,397,94627,8487,138030,80064,136036,122513,13523,82058,37165,44893,508,2384,13395,27,65637,107,202502,66292,136210,65942,115033,57352,6969,3346,897,367,13311,4877
High Bridge - Morrisania,2019,216305.0,24543.72474515152,36.60638635260396,10.879110515244678,28799,86674,1664,2541,408,87614,8605,136420,79885,136061,122561,13500,80244,37757,42487,671,2552,12810,27,64120,64,200688,65953,134735,65273,113329,56306,7042,3385,985,434,13379,5148
High Bridge - Morrisania,2020,214281.0,25923.388536547805,35.843137282353545,11.484178251921541,30259,86755,1755,2312,780,76803,15617,133559,80722,139977,124890,15087,74304,36251,38053,614,2264,11853,0,59314,259,199007,68676,130331,63569,109917,54697,7135,3777,804,396,12475,4699
High Bridge - Morrisania,2021,220270.0,27179.673900213376,35.77925909111545,12.995915013392654,30501,92200,1483,2295,791,74299,18701,134378,85892,146579,130514,16065,73691,37467,36224,679,2155,12661,0,57906,290,204463,72378,132085,62696,110335,52997,7210,4025,888,432,13652,5242
Canarsie - Flatlands,2011,202336.0,37220.042029100114,12.348686837735253,8.287817788233433,56794,127766,415,6696,251,8181,2233,17992,184344,120666,117222,3444,81670,56533,25137,9124,7302,2050,10,62914,270,190114,131503,58611,24260,13614,4180,35267,16316,4569,2063,5161,1701
Canarsie - Flatlands,2012,205324.0,37399.92496736864,12.950230854649238,9.813919463871734,56497,131870,400,6383,231,7744,2199,18490,186834,121498,117889,3609,83826,57947,25879,9301,6856,2266,9,65132,262,192696,134762,57934,25888,13716,4641,34701,17166,4325,2303,5192,1778
Canarsie - Flatlands,2013,204355.0,37329.4882288175,12.64038315676152,10.27786156443444,54445,132472,519,6885,191,7480,2363,18159,186196,121162,117374,3788,83193,58323,24870,8581,7161,2301,9,64952,189,192300,134587,57713,26518,13133,4640,34807,17424,4438,2383,5335,2071
Canarsie - Flatlands,2014,206267.0,37104.29291161455,13.314279065483086,10.55256778835199,52199,134851,665,7770,6,8033,2743,18097,188170,120853,117121,3732,85414,60323,25091,8711,7114,2357,19,67047,166,194127,135761,58366,27285,12895,4935,36123,18144,4472,2457,4876,1749
Canarsie - Flatlands,2015,207112.0,37399.45606242033,13.449762447371471,10.36490015064313,50291,137412,836,8228,6,7517,2822,18134,188978,121736,117794,3942,85376,61525,23851,8445,7875,2583,52,66192,229,195602,136026,59576,26911,12607,4246,36686,17989,4636,2550,5647,2126
Canarsie - Flatlands,2016,208063.0,37876.13221956811,12.670713197445005,9.021158495263455,50015,139326,687,8329,11,6836,2859,17917,190146,122470,118408,4062,85593,62663,22930,8521,7780,2453,59,66548,232,196312,137995,58317,26153,12684,4174,35339,17419,4580,2471,5714,2089
Canarsie - Flatlands,2017,211087.0,38625.8763021882,12.241046108950336,7.843243307261934,50871,140461,697,9068,9,7229,2752,18765,192322,124819,120129,4690,86268,64887,21381,8435,8377,2373,60,66784,239,198971,140008,58963,25440,13046,3726,35211,17000,4900,2669,5806,2045
Canarsie - Flatlands,2018,209241.0,40623.313002709794,11.599155041315996,6.633616260675489,49689,138501,447,9431,26,7833,3314,19696,189545,123515,118067,5448,85726,64922,20804,8186,8743,2538,59,65944,256,196342,138480,57862,24122,13827,3954,33333,15519,4818,2706,5884,1943
Canarsie - Flatlands,2019,207150.0,42584.630432054066,11.000727009413469,5.375088583152305,48139,136550,667,9984,11,8691,3108,20443,186707,122235,116518,5717,84915,64551,20364,8075,9128,2410,56,64984,262,194585,135820,58765,23237,14310,3665,32990,14661,5223,3009,6242,1902
Canarsie - Flatlands,2020,202025.0,44684.40994926371,11.04344709813142,5.34396188590521,43675,133305,758,9817,8,8861,5601,19656,182369,119002,113318,5684,83023,62313,20710,7696,9129,2656,30,63262,250,190197,133497,56700,21877,13426,3632,31572,13423,5530,3152,6172,1670
Canarsie - Flatlands,2021,212409.0,46575.18900329082,11.591740462974732,5.5242193127409855,43130,138764,946,10594,13,9684,9278,19811,192598,126639,120410,6229,85770,64490,21280,7618,9959,2817,34,65104,238,199968,141586,58382,21682,13274,3453,32088,12972,6378,3697,6642,1560
Williamsburg - Bushwick,2011,208838.0,24917.470565701646,32.80890738275601,11.394156714774132,65546,67352,546,9505,13,61677,4199,108277,100561,145099,128160,16939,63739,22298,41441,2092,7394,1533,56,52396,268,192521,80938,111583,65235,89954,53953,12939,5612,6552,4561,2138,1109
Williamsburg - Bushwick,2012,213371.0,24842.686761556164,32.45799054229488,13.309126826044775,75287,70265,761,9849,21,51843,5345,109914,103457,147844,131220,16624,65527,23045,42482,2421,7527,1453,65,53859,202,196562,83963,112599,63229,90702,52160,13540,5621,6458,4557,1899,891
Williamsburg - Bushwick,2013,218324.0,25269.184152910355,32.394291511698206,14.687281288360417,82985,74016,928,10195,18,44777,5405,112006,106318,152008,135062,16946,66316,22928,43388,2463,8125,1550,53,53935,190,200835,86183,114652,61273,91671,49817,14494,6257,6570,4327,1917,872
Williamsburg - Bushwick,2014,222211.0,26629.61268794074,31.48772743023523,15.159049732011466,87399,77410,1127,10592,25,39130,6528,109487,112724,157413,141104,16309,64798,23783,41015,2821,8275,1255,124,52055,268,204677,91588,113089,57066,89285,46030,14175,5846,7090,4205,2539,985
Williamsburg - Bushwick,2015,222360.0,27044.814867781974,31.666098219104157,14.801009174311925,91649,77829,1445,11579,28,32864,6966,104974,117386,158992,143383,15609,63368,24355,39013,3533,9051,1213,202,49074,295,204857,95395,109462,52126,84320,41067,15469,5846,7823,4626,1850,587
Williamsburg - Bushwick,2016,224198.0,28207.385783994505,31.498440664055877,13.461943460690996,91859,78559,1668,12980,40,31698,7394,101908,122290,161025,146438,14587,63173,25842,37331,4035,9795,1201,251,47568,323,207353,97297,110056,49280,82703,37597,16974,6275,8247,4760,2132,648
Williamsburg - Bushwick,2017,224622.0,30831.326041082353,30.51970510457569,11.215141437615193,88320,75919,1600,13368,87,37916,7412,98283,126339,163750,149707,14043,60872,26738,34134,4644,9990,1197,304,44386,351,208477,101015,107462,47299,78739,35074,17548,6512,8822,5064,2353,649
Williamsburg - Bushwick,2018,221494.0,32093.565297479843,30.03654455651169,9.063862226516294,85654,71154,1584,12507,72,42332,8191,92630,128864,164624,150634,13990,56870,26918,29952,5096,9389,1305,289,40472,319,205567,102502,103065,43731,73228,31955,18739,6066,8371,4916,2727,794
Williamsburg - Bushwick,2019,220620.0,33850.34930649987,28.4787326624966,7.3420968180582005,82312,67668,1605,12210,192,48006,8627,92524,128096,163288,149639,13649,57332,27577,29755,5068,9377,1385,312,40783,407,205496,102103,103393,43186,72956,31286,19953,6506,8065,4716,2419,678
Williamsburg - Bushwick,2020,219953.0,35597.79199192555,28.355937859451792,7.862614740421818,78916,63280,1836,11809,276,49122,14714,90002,129951,164853,152295,12558,55100,27475,27625,5707,9148,1758,211,37861,415,205230,103978,101252,41783,69424,28816,21210,7727,7595,4455,3023,785
Williamsburg - Bushwick,2021,231221.0,38606.13971914316,27.131018808845216,7.730081177747696,80772,65064,2129,12737,253,50382,19884,91608,139613,174956,162816,12140,56265,29894,26371,6378,9555,1715,184,37944,489,216844,112505,104339,43279,69916,29529,22770,8566,8484,4187,3169,997
East Harlem,2011,113741.0,26795.38610527426,31.081902743953368,13.672319568141654,31225,38270,336,7366,52,33016,3476,57625,56116,84482,73534,10948,29259,10760,18499,2293,6044,1804,58,18870,190,106756,47305,59451,25477,48002,20575,5724,1737,4240,2579,1485,586
East Harlem,2012,113740.0,28192.20340249692,31.72296289783717,12.683096535959205,34152,37957,381,7660,47,29795,3748,56455,57285,84010,74002,10008,29730,11079,18651,2745,6107,2218,118,18369,173,106618,47449,59169,25167,46816,20089,6023,1695,4635,2813,1695,570
East Harlem,2013,110942.0,28938.7712678697,31.98443871572534,12.930185141785799,34227,36665,318,8273,149,27863,3447,53176,57766,81849,72591,9258,29093,10954,18139,2627,6506,1990,250,17585,135,104485,47854,56631,23031,43998,18574,5465,1133,5411,2851,1757,473
East Harlem,2014,112617.0,28350.3599101379,32.81617961764209,12.129611870321533,32422,38195,296,8314,116,29833,3441,53330,59287,82912,73704,9208,29705,11492,18213,2837,6846,2213,258,17389,162,106315,48721,57594,22843,44630,18116,5893,1242,5680,2945,1391,540
East Harlem,2015,113171.0,28854.644484894543,33.26753850368027,11.590470173454332,31745,37384,352,8618,138,31512,3422,54073,59098,83867,74723,9144,29304,11938,17366,2370,7078,2030,249,17463,114,106864,48720,58144,22026,45034,17536,5586,1189,5876,2848,1648,453
East Harlem,2016,113598.0,30304.277126357858,33.83767231817461,10.898105600450712,35033,37296,464,8791,160,28373,3481,52968,60630,85651,76835,8816,27947,11911,16036,2638,6940,1766,238,16199,166,107650,50590,57060,20986,43199,16147,6255,1392,5609,2921,1997,526
East Harlem,2017,116232.0,30421.46269529906,34.32117661229266,11.348041847339802,34443,38899,518,9547,225,28459,4141,55316,60916,87394,78623,8771,28838,12434,16404,2265,7298,1597,182,17262,234,110334,51562,58772,22132,44402,16695,6533,1635,5870,3303,1967,499
East Harlem,2018,115340.0,31419.105626842378,34.56352696375932,9.839333275533207,34142,39279,803,9289,133,27473,4221,54057,61283,87497,78314,9183,27843,12707,15136,2176,7266,1473,140,16425,363,109435,52336,57099,21562,42425,16142,6653,1576,5737,3313,2284,531
East Harlem,2019,112761.0,33088.64245616835,34.14677149014287,9.444252002021974,34302,39579,685,8564,135,25512,3984,52185,60576,86982,77767,9215,25779,12119,13660,2182,6322,1637,102,15199,337,106774,53079,53695,19323,40123,14387,5911,1568,5256,2920,2405,448
