State_Senate_District,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
12.0,2023,2242,-47.4202626641651
13.0,2006,12474,
13.0,2007,13236,6.108706108706109
13.0,2008,13205,-0.23420973103656695
13.0,2009,14114,6.883756152972359
13.0,2010,12783,-9.430352841150631
13.0,2011,11450,-10.427912070718923
13.0,2012,10728,-6.3056768558951966
13.0,2013,10968,2.237136465324385
13.0,2014,11186,1.987600291757841
13.0,2015,9708,-13.212944752369033
13.0,2016,8309,-14.410795220436754
13.0,2017,7568,-8.918040678782043
13.0,2018,7055,-6.778541226215645
13.0,2019,6313,-10.517363571934798
13.0,2020,4240,-32.8370030096626
13.0,2021,4324,1.9811320754716981
13.0,2022,5131,18.66327474560592
13.0,2023,3163,-38.35509647242253
14.0,2006,10606,
14.0,2007,10689,0.7825759004337167
14.0,2008,11492,7.512395921040321
14.0,2009,12504,8.806126000696137
14.0,2010,13224,5.758157389635317
14.0,2011,13085,-1.0511191772534785
14.0,2012,12905,-1.3756209400076425
14.0,2013,13954,8.128632313056954
14.0,2014,13879,-0.5374802923892791
14.0,2015,12360,-10.944592549895525
14.0,2016,9977,-19.279935275080906
14.0,2017,8352,-16.28746116066954
14.0,2018,7036,-15.756704980842912
14.0,2019,6743,-4.16429789653212
14.0,2020,4396,-34.80646596470414
14.0,2021,4716,7.279344858962693
14.0,2022,6135,30.08905852417303
14.0,2023,4608,-24.889975550122248
15.0,2006,8015,
15.0,2007,8887,10.879600748596381
15.0,2008,8842,-0.5063576009902104
15.0,2009,8775,-0.7577471160370957
15.0,2010,9026,2.86039886039886
15.0,2011,8029,-11.045867493906494
15.0,2012,8665,7.921285340640178
15.0,2013,9561,10.340450086555107
15.0,2014,8345,-12.718334902206882
15.0,2015,7509,-10.017974835230676
15.0,2016,7794,3.79544546544147
15.0,2017,7187,-7.7880420836540925
15.0,2018,6355,-11.576457492695145
15.0,2019,5377,-15.389457120377656
15.0,2020,3952,-26.501766784452297
15.0,2021,4572,15.688259109311742
15.0,2022,5121,12.007874015748031
15.0,2023,2803,-45.26459675844562
16.0,2006,7424,
16.0,2007,7002,-5.6842672413793105
16.0,2008,6994,-0.11425307055127107
16.0,2009,7292,4.26079496711467
16.0,2010,6978,-4.306088864509051
16.0,2011,7268,4.1559186013184295
16.0,2012,7453,2.5454045129334064
16.0,2013,7698,3.2872668724003753
16.0,2014,7113,-7.59937646141855
16.0,2015,6606,-7.127794179671025
16.0,2016,6526,-1.2110202845897668
16.0,2017,6308,-3.3404842169782407
16.0,2018,5659,-10.288522511097021
16.0,2019,5051,-10.743947693938859
16.0,2020,3233,-35.992872698475544
16.0,2021,3805,17.69254562326013
16.0,2022,4721,24.07358738501971
16.0,2023,2845,-39.737343783096804
17.0,2006,4086,
17.0,2007,4284,4.845814977973569
17.0,2008,4288,0.09337068160597572
17.0,2009,4208,-1.8656716417910446
17.0,2010,4268,1.4258555133079849
17.0,2011,4181,-2.0384254920337392
17.0,2012,4064,-2.798373594833772
17.0,2013,4157,2.2883858267716537
17.0,2014,4623,11.210007216742843
17.0,2015,4296,-7.073329007138223
17.0,2016,4216,-1.86219739292365
17.0,2017,4225,0.21347248576850095
17.0,2018,3212,-23.976331360946745
