Neighborhood,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
Central Harlem - Morningside Heights,2017,9691,-22.40992794235388
Central Harlem - Morningside Heights,2018,8090,-16.52048292229904
Central Harlem - Morningside Heights,2019,6909,-14.598269468479605
Central Harlem - Morningside Heights,2020,4119,-40.382110290924885
Central Harlem - Morningside Heights,2021,5390,30.857004127215344
Central Harlem - Morningside Heights,2022,6370,18.181818181818183
Central Harlem - Morningside Heights,2023,2975,-53.2967032967033
Central Park,2006,0,
Central Park,2007,0,0.0
Central Park,2008,0,0.0
Central Park,2009,0,0.0
Central Park,2010,0,0.0
Central Park,2011,0,0.0
Central Park,2012,0,0.0
Central Park,2013,0,0.0
Central Park,2014,0,0.0
Central Park,2015,0,0.0
Central Park,2016,0,0.0
Central Park,2017,0,0.0
Central Park,2018,0,0.0
Central Park,2019,0,0.0
Central Park,2020,0,0.0
Central Park,2021,0,0.0
Central Park,2022,0,0.0
Central Park,2023,0,0.0
Chelsea - Clinton,2006,22554,
Chelsea - Clinton,2007,23473,4.074665247849605
Chelsea - Clinton,2008,23336,-0.5836492991948196
Chelsea - Clinton,2009,23950,2.6311278711004458
Chelsea - Clinton,2010,24378,1.7870563674321505
Chelsea - Clinton,2011,23171,-4.951185495118549
Chelsea - Clinton,2012,22378,-3.4223814250571833
Chelsea - Clinton,2013,24406,9.062472070783805
Chelsea - Clinton,2014,25202,3.2614930754732443
Chelsea - Clinton,2015,22016,-12.641853821125308
Chelsea - Clinton,2016,18849,-14.384992732558139
Chelsea - Clinton,2017,17391,-7.73515836383893
Chelsea - Clinton,2018,13839,-20.42435742625496
Chelsea - Clinton,2019,10836,-21.699544764795146
Chelsea - Clinton,2020,8321,-23.209671465485417
Chelsea - Clinton,2021,8989,8.027881264271121
Chelsea - Clinton,2022,10906,21.326065190788743
Chelsea - Clinton,2023,6244,-42.747111681643126
Coney Island - Sheepshead Bay,2006,8158,
Coney Island - Sheepshead Bay,2007,8317,1.9490071095856827
Coney Island - Sheepshead Bay,2008,8163,-1.8516291932187086
Coney Island - Sheepshead Bay,2009,8535,4.557148107313488
Coney Island - Sheepshead Bay,2010,7946,-6.9009958992384295
Coney Island - Sheepshead Bay,2011,7537,-5.147243896300025
Coney Island - Sheepshead Bay,2012,7425,-1.486002388218124
Coney Island - Sheepshead Bay,2013,7738,4.215488215488215
Coney Island - Sheepshead Bay,2014,7990,3.256655466528819
Coney Island - Sheepshead Bay,2015,8056,0.8260325406758449
Coney Island - Sheepshead Bay,2016,7237,-10.166335650446872
Coney Island - Sheepshead Bay,2017,6815,-5.83114550227995
Coney Island - Sheepshead Bay,2018,5927,-13.030080704328686
Coney Island - Sheepshead Bay,2019,5251,-11.405432765311287
Coney Island - Sheepshead Bay,2020,3792,-27.78518377451914
Coney Island - Sheepshead Bay,2021,3863,1.8723628691983123
Coney Island - Sheepshead Bay,2022,4523,17.085166968677193
Coney Island - Sheepshead Bay,2023,2660,-41.189476011496794
Crotona - Tremont,2006,15959,
Crotona - Tremont,2007,19269,20.740647910270066
Crotona - Tremont,2008,18886,-1.9876485546733096
Crotona - Tremont,2009,18327,-2.959864449857037
Crotona - Tremont,2010,16782,-8.430184972990668
Crotona - Tremont,2011,15474,-7.794065069717554
Crotona - Tremont,2012,15052,-2.7271552281245963
Crotona - Tremont,2013,14419,-4.205421206484188
Crotona - Tremont,2014,14208,-1.4633469727442958
Crotona - Tremont,2015,12087,-14.92820945945946
Crotona - Tremont,2016,11462,-5.170844709191694
Crotona - Tremont,2017,10109,-11.804222648752399
Crotona - Tremont,2018,10019,-0.8902957760411514
Crotona - Tremont,2019,8198,-18.175466613434473
Crotona - Tremont,2020,5576,-31.98341058794828
Crotona - Tremont,2021,5808,4.160688665710186
Crotona - Tremont,2022,6734,15.943526170798897
Crotona - Tremont,2023,4632,-31.214731214731216
Downtown - Heights - Park Slope,2006,12492,
Downtown - Heights - Park Slope,2007,12076,-3.3301312840217743
Downtown - Heights - Park Slope,2008,11772,-2.5173898641934414
Downtown - Heights - Park Slope,2009,12721,8.061501868841319
Downtown - Heights - Park Slope,2010,12643,-0.6131593428189608
Downtown - Heights - Park Slope,2011,12555,-0.6960373329114925
Downtown - Heights - Park Slope,2012,12556,0.007964954201513342
Downtown - Heights - Park Slope,2013,11502,-8.394393118827653
Downtown - Heights - Park Slope,2014,11759,2.234394018431577
Downtown - Heights - Park Slope,2015,11088,-5.706267539756782
Downtown - Heights - Park Slope,2016,11884,7.178932178932179
Downtown - Heights - Park Slope,2017,10999,-7.446987546280713
Downtown - Heights - Park Slope,2018,8763,-20.32912082916629
Downtown - Heights - Park Slope,2019,7485,-14.584046559397468
Downtown - Heights - Park Slope,2020,3651,-51.22244488977956
Downtown - Heights - Park Slope,2021,4914,34.593262119967136
Downtown - Heights - Park Slope,2022,7297,48.494098494098495
Downtown - Heights - Park Slope,2023,4056,-44.41551322461286
East Flatbrush - Flatbrush,2006,12961,
East Flatbrush - Flatbrush,2007,14407,11.156546562765218
East Flatbrush - Flatbrush,2008,13240,-8.10022905532033
East Flatbrush - Flatbrush,2009,14334,8.262839879154079
East Flatbrush - Flatbrush,2010,14596,1.8278219617692202
East Flatbrush - Flatbrush,2011,13508,-7.454097012880241
