Police_Precinct,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
6.0,2014,2,1043,-3.6934441366574333
6.0,2014,3,798,-23.48993288590604
6.0,2015,0,690,-13.533834586466165
6.0,2015,1,840,21.73913043478261
6.0,2015,2,824,-1.9047619047619049
6.0,2015,3,729,-11.529126213592233
6.0,2016,0,735,0.823045267489712
6.0,2016,1,529,-28.027210884353742
6.0,2016,2,534,0.945179584120983
6.0,2016,3,608,13.857677902621724
6.0,2017,0,670,10.197368421052632
6.0,2017,1,646,-3.582089552238806
6.0,2017,2,737,14.086687306501547
6.0,2017,3,672,-8.819538670284938
6.0,2018,0,631,-6.101190476190476
6.0,2018,1,603,-4.437400950871632
6.0,2018,2,564,-6.467661691542288
6.0,2018,3,537,-4.787234042553192
6.0,2019,0,383,-28.677839851024206
6.0,2019,1,489,27.676240208877285
6.0,2019,2,635,29.85685071574642
6.0,2019,3,520,-18.11023622047244
6.0,2020,0,524,0.7692307692307693
6.0,2020,1,504,-3.816793893129771
6.0,2020,2,321,-36.30952380952381
6.0,2020,3,402,25.233644859813083
6.0,2021,0,279,-30.597014925373134
6.0,2021,1,323,15.770609318996415
6.0,2021,2,364,12.693498452012383
6.0,2021,3,377,3.571428571428571
6.0,2022,0,334,-11.405835543766578
6.0,2022,1,475,42.21556886227545
6.0,2022,2,511,7.578947368421053
6.0,2022,3,433,-15.264187866927593
6.0,2023,0,552,27.48267898383372
6.0,2023,1,553,0.18115942028985507
7.0,2006,0,732,
7.0,2006,1,757,3.415300546448088
7.0,2006,2,739,-2.3778071334214
7.0,2006,3,699,-5.412719891745602
7.0,2007,0,836,19.599427753934194
7.0,2007,1,808,-3.349282296650718
7.0,2007,2,924,14.356435643564355
7.0,2007,3,751,-18.72294372294372
7.0,2008,0,739,-1.5978695073235687
7.0,2008,1,702,-5.006765899864682
7.0,2008,2,663,-5.555555555555555
7.0,2008,3,788,18.85369532428356
7.0,2009,0,903,14.593908629441623
7.0,2009,1,788,-12.73532668881506
7.0,2009,2,772,-2.030456852791878
7.0,2009,3,717,-7.124352331606218
7.0,2010,0,860,19.9442119944212
7.0,2010,1,910,5.813953488372093
7.0,2010,2,801,-11.978021978021978
7.0,2010,3,820,2.3720349563046192
7.0,2011,0,877,6.951219512195123
7.0,2011,1,1048,19.49828962371722
7.0,2011,2,754,-28.053435114503817
7.0,2011,3,858,13.793103448275861
7.0,2012,0,923,7.575757575757576
7.0,2012,1,914,-0.9750812567713976
7.0,2012,2,990,8.315098468271334
7.0,2012,3,777,-21.515151515151516
7.0,2013,0,923,18.79021879021879
7.0,2013,1,876,-5.092091007583965
7.0,2013,2,827,-5.5936073059360725
7.0,2013,3,741,-10.399032648125756
7.0,2014,0,809,9.176788124156547
7.0,2014,1,814,0.6180469715698393
7.0,2014,2,803,-1.3513513513513513
7.0,2014,3,664,-17.31008717310087
7.0,2015,0,758,14.156626506024098
7.0,2015,1,782,3.16622691292876
7.0,2015,2,916,17.135549872122763
7.0,2015,3,824,-10.043668122270741
7.0,2016,0,693,-15.898058252427186
7.0,2016,1,779,12.40981240981241
7.0,2016,2,670,-13.992297817715018
7.0,2016,3,711,6.119402985074627
7.0,2017,0,795,11.814345991561181
