Community_District,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
102.0,2009,3,2101,-8.413251961639059
102.0,2010,0,2196,4.521656354117088
102.0,2010,1,2311,5.2367941712204
102.0,2010,2,2089,-9.606231068801385
102.0,2010,3,2069,-0.9573958831977023
102.0,2011,0,1776,-14.16143064282262
102.0,2011,1,2157,21.4527027027027
102.0,2011,2,1983,-8.066759388038943
102.0,2011,3,2082,4.992435703479576
102.0,2012,0,1867,-10.326609029779059
102.0,2012,1,1924,3.053026245313337
102.0,2012,2,1966,2.182952182952183
102.0,2012,3,1568,-20.2441505595117
102.0,2013,0,1796,14.540816326530612
102.0,2013,1,1935,7.739420935412027
102.0,2013,2,1966,1.6020671834625324
102.0,2013,3,1712,-12.919633774160733
102.0,2014,0,1674,-2.219626168224299
102.0,2014,1,1924,14.934289127837516
102.0,2014,2,1808,-6.029106029106029
102.0,2014,3,1518,-16.039823008849556
102.0,2015,0,1282,-15.5467720685112
102.0,2015,1,1555,21.29485179407176
102.0,2015,2,1570,0.964630225080386
102.0,2015,3,1425,-9.235668789808917
102.0,2016,0,1489,4.491228070175438
102.0,2016,1,1186,-20.349227669576898
102.0,2016,2,1033,-12.900505902192243
102.0,2016,3,1110,7.454017424975799
102.0,2017,0,1187,6.936936936936937
102.0,2017,1,1136,-4.296545914069082
102.0,2017,2,1209,6.426056338028169
102.0,2017,3,1140,-5.707196029776675
102.0,2018,0,1006,-11.75438596491228
102.0,2018,1,965,-4.075546719681909
102.0,2018,2,878,-9.015544041450777
102.0,2018,3,784,-10.70615034168565
102.0,2019,0,675,-13.903061224489797
102.0,2019,1,750,11.11111111111111
102.0,2019,2,863,15.066666666666666
102.0,2019,3,767,-11.123986095017381
102.0,2020,0,761,-0.7822685788787485
102.0,2020,1,808,6.176084099868594
102.0,2020,2,369,-54.331683168316836
102.0,2020,3,502,36.043360433604335
102.0,2021,0,386,-23.107569721115535
102.0,2021,1,439,13.730569948186528
102.0,2021,2,531,20.956719817767656
102.0,2021,3,559,5.273069679849341
102.0,2022,0,484,-13.416815742397137
102.0,2022,1,660,36.36363636363637
102.0,2022,2,721,9.242424242424242
102.0,2022,3,726,0.6934812760055479
102.0,2023,0,787,8.402203856749312
