Community_District,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
107.0,2009,5900,3.1648889666025526
107.0,2010,5441,-7.779661016949152
107.0,2011,5079,-6.653188752067635
107.0,2012,5189,2.165780665485332
107.0,2013,5020,-3.2568895740990556
107.0,2014,5082,1.2350597609561753
107.0,2015,4638,-8.736717827626919
107.0,2016,4235,-8.689090125053903
107.0,2017,4144,-2.1487603305785123
107.0,2018,3465,-16.385135135135133
107.0,2019,2894,-16.47907647907648
107.0,2020,2037,-29.612992398064964
107.0,2021,2525,23.956799214531173
107.0,2022,2823,11.801980198019802
107.0,2023,1536,-45.58979808714134
108.0,2006,3796,
108.0,2007,3821,0.6585879873551107
108.0,2008,3340,-12.588327662915466
108.0,2009,3266,-2.215568862275449
108.0,2010,3217,-1.5003061849357011
108.0,2011,3316,3.0774013055641904
108.0,2012,3438,3.67913148371532
108.0,2013,3226,-6.166375799883653
108.0,2014,3039,-5.796652200867948
108.0,2015,2860,-5.890095426127016
108.0,2016,2905,1.5734265734265735
108.0,2017,2897,-0.2753872633390706
108.0,2018,2385,-17.67345529858474
108.0,2019,2456,2.9769392033542976
108.0,2020,1500,-38.925081433224754
108.0,2021,1567,4.466666666666667
108.0,2022,2217,41.480536056158265
108.0,2023,1053,-52.503382949932345
109.0,2006,7035,
109.0,2007,8110,15.280739161336177
109.0,2008,7745,-4.5006165228113435
109.0,2009,8703,12.3692704970949
109.0,2010,7718,-11.317936343789498
109.0,2011,7742,0.31096138896087067
109.0,2012,8120,4.882459312839059
109.0,2013,8508,4.778325123152709
109.0,2014,6950,-18.312176774800186
109.0,2015,6319,-9.079136690647482
109.0,2016,5416,-14.290235796803291
109.0,2017,3988,-26.36632200886263
109.0,2018,3477,-12.813440320962888
109.0,2019,3162,-9.0595340811044
109.0,2020,2066,-34.66160657811512
109.0,2021,2522,22.07163601161665
109.0,2022,2832,12.291831879460744
109.0,2023,1347,-52.436440677966104
110.0,2006,12356,
110.0,2007,12609,2.047588216251214
110.0,2008,13641,8.184630026171783
110.0,2009,14485,6.18722967524375
110.0,2010,13320,-8.04280289955126
110.0,2011,13021,-2.2447447447447444
110.0,2012,12266,-5.798325781429998
110.0,2013,11717,-4.47578672753954
110.0,2014,10944,-6.597251856277205
110.0,2015,9416,-13.961988304093568
110.0,2016,9674,2.740016992353441
110.0,2017,7300,-24.540004134794295
110.0,2018,5542,-24.08219178082192
110.0,2019,5225,-5.719956694334175
110.0,2020,3338,-36.114832535885164
110.0,2021,4336,29.898142600359495
110.0,2022,4797,10.631918819188192
110.0,2023,2336,-51.30289764436105
111.0,2006,13818,
111.0,2007,14916,7.946157186278767
111.0,2008,14528,-2.601233574684902
111.0,2009,14862,2.2990088105726874
111.0,2010,15794,6.271026779706634
111.0,2011,14681,-7.046979865771812
111.0,2012,14777,0.6539064096451196
111.0,2013,15236,3.1061785206740202
111.0,2014,14887,-2.290627461275925
111.0,2015,12389,-16.779740713374085
111.0,2016,11273,-9.007990959722335
111.0,2017,10511,-6.759513882728643
111.0,2018,8594,-18.23803634287889
111.0,2019,7371,-14.230858738654875
111.0,2020,4651,-36.90137023470357
111.0,2021,4675,0.5160180606321221
111.0,2022,5079,8.641711229946523
111.0,2023,3009,-40.756054341405786
112.0,2006,11409,
112.0,2007,13221,15.882198264528006
