State_Assembly_District,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
27.0,2012,2902,-0.989423404981235
27.0,2013,3297,13.61130254996554
27.0,2014,3194,-3.124052168638156
27.0,2015,2814,-11.897307451471509
27.0,2016,2959,5.152807391613362
27.0,2017,2913,-1.554579249746536
27.0,2018,2636,-9.509097150703742
27.0,2019,2505,-4.969650986342944
27.0,2020,1539,-38.56287425149701
27.0,2021,1903,23.651721897335932
27.0,2022,1868,-1.8392012611665791
27.0,2023,956,-48.82226980728051
28.0,2006,2877,
28.0,2007,2873,-0.13903371567605144
28.0,2008,2986,3.933170901496694
28.0,2009,3531,18.251841929002012
28.0,2010,3309,-6.287170773152082
28.0,2011,3313,0.12088244182532487
28.0,2012,3331,0.5433142167220043
28.0,2013,3417,2.58180726508556
28.0,2014,3095,-9.423470880889669
28.0,2015,2754,-11.017770597738288
28.0,2016,2492,-9.513435003631082
28.0,2017,2355,-5.497592295345104
28.0,2018,2353,-0.08492569002123143
28.0,2019,2299,-2.2949426264343393
28.0,2020,1677,-27.055241409308394
28.0,2021,1943,15.861657722122837
28.0,2022,2504,28.872876994338654
28.0,2023,1344,-46.325878594249204
29.0,2006,4826,
29.0,2007,4479,-7.190219643597182
29.0,2008,4598,2.6568430453226166
29.0,2009,4999,8.721183123097
29.0,2010,5227,4.560912182436487
29.0,2011,5529,5.777692749186914
29.0,2012,5648,2.152287936335685
29.0,2013,6449,14.18201133144476
29.0,2014,6446,-0.04651884013025275
29.0,2015,5631,-12.643499844865033
29.0,2016,4475,-20.5292132836086
29.0,2017,3941,-11.932960893854748
29.0,2018,3280,-16.77239279370718
29.0,2019,3219,-1.8597560975609755
29.0,2020,2303,-28.456042249145696
29.0,2021,2413,4.776378636561008
29.0,2022,3266,35.350186489846664
29.0,2023,2127,-34.87446417636252
30.0,2006,2488,
30.0,2007,2733,9.84726688102894
30.0,2008,2344,-14.233443102817416
30.0,2009,2296,-2.04778156996587
30.0,2010,2415,5.182926829268292
30.0,2011,2257,-6.542443064182195
30.0,2012,2035,-9.836065573770492
30.0,2013,2192,7.714987714987714
30.0,2014,2058,-6.1131386861313874
30.0,2015,1780,-13.508260447035958
